model_name,model_key,image_id,image_path,grounding_prompt,source_command,parsed_action,parsed_target_object,parsed_location_hint,model_grounding_prompt,original_grounding_prompt,target_object,target_type,gt_x_min,gt_y_min,gt_x_max,gt_y_max,ground_truth_source,pred_x_min,pred_y_min,pred_x_max,pred_y_max,confidence,matched_phrase,status,has_valid_prediction_box,iou,target_correct,bbox_quality,notes
OWL ViT,owlvit,vid_res_001_man_in_lobby_by_door_frame_01,examples/residence_images/vid_res_001_man_in_lobby_by_door_frame_01.jpg,person by door,find man by door,find,person,by door,person by door,man by door,person,person,966.0,267.0,1185.0,852.0,ground_truth_boxes.csv,986.0,279.0,1184.0,836.0,0.14215849339962,person,success,True,0.8608359676852827,True,strict_success,google/owlvit-base-patch32; threshold=0.05; area=0.053; rank=0.178
OWL ViT,owlvit,vid_res_005_under_the_painting_frame_03,examples/residence_images/vid_res_005_under_the_painting_frame_03.jpg,wall under painting,find wall under painting,find,wall,under painting,wall under painting,wall under painting,wall,object,1005.0,544.0,1251.0,826.0,ground_truth_boxes.csv,0.0,156.0,609.0,1079.0,0.0250341538339853,wall,success,True,0.0,False,poor,google/owlvit-base-patch32; threshold=0.02; area=0.271; rank=0.043
OWL ViT,owlvit,vid_res_006_man_by_the_elevator_green_shirt_frame_01,examples/residence_images/vid_res_006_man_by_the_elevator_green_shirt_frame_01.jpg,person by elevator,find man by the elevator green shirt,find,person,by elevator green shirt,person by elevator,man by the elevator green shirt,person,person,806.0,138.0,1123.0,1073.0,ground_truth_boxes.csv,825.0,137.0,1141.0,1079.0,0.088772065937519,person,success,True,0.883314259265717,True,strict_success,google/owlvit-base-patch32; threshold=0.05; area=0.144; rank=0.117
OWL ViT,owlvit,vid_res_006_man_by_the_elevator_green_shirt_frame_02,examples/residence_images/vid_res_006_man_by_the_elevator_green_shirt_frame_02.jpg,person by elevator,find man by the elevator green shirt,find,person,by elevator green shirt,person by elevator,man by the elevator green shirt,person,person,812.0,130.0,1137.0,1077.0,ground_truth_boxes.csv,820.0,133.0,1144.0,1079.0,0.0848792046308517,person,success,True,0.9499001685548406,True,strict_success,google/owlvit-base-patch32; threshold=0.05; area=0.148; rank=0.113
OWL ViT,owlvit,vid_res_006_man_by_the_elevator_green_shirt_frame_03,examples/residence_images/vid_res_006_man_by_the_elevator_green_shirt_frame_03.jpg,person by elevator,find man by the elevator green shirt,find,person,by elevator green shirt,person by elevator,man by the elevator green shirt,person,person,798.0,132.0,1139.0,1073.0,ground_truth_boxes.csv,825.0,137.0,1141.0,1079.0,0.088772065937519,person,success,True,0.9052977215392624,True,strict_success,google/owlvit-base-patch32; threshold=0.05; area=0.144; rank=0.117
OWL ViT,owlvit,vid_res_007_man_standing_by_table_frame_01,examples/residence_images/vid_res_007_man_standing_by_table_frame_01.jpg,person by table,find man standing by table,find,person,by table,person by table,man standing by table,person,person,686.0,186.0,963.0,920.0,ground_truth_boxes.csv,686.0,200.0,955.0,899.0,0.1175159737467765,person,success,True,0.9248123628994973,True,strict_success,google/owlvit-base-patch32; threshold=0.05; area=0.091; rank=0.150
OWL ViT,owlvit,vid_res_007_man_standing_by_table_frame_02,examples/residence_images/vid_res_007_man_standing_by_table_frame_02.jpg,person by table,find man standing by table,find,person,by table,person by table,man standing by table,person,person,672.0,179.0,971.0,999.0,ground_truth_boxes.csv,685.0,192.0,947.0,968.0,0.1070630028843879,person,success,True,0.8292356635940942,True,strict_success,google/owlvit-base-patch32; threshold=0.05; area=0.098; rank=0.139
OWL ViT,owlvit,vid_res_007_man_standing_by_table_frame_03,examples/residence_images/vid_res_007_man_standing_by_table_frame_03.jpg,person by table,find man standing by table,find,person,by table,person by table,man standing by table,person,person,670.0,181.0,963.0,993.0,ground_truth_boxes.csv,4.0,574.0,803.0,1051.0,0.1603639721870422,table,success,True,0.09892741500269833,False,poor,google/owlvit-base-patch32; threshold=0.05; area=0.184; rank=0.146
OWL ViT,owlvit,vid_res_008_man_standing_by_water_dispenser_frame_01,examples/residence_images/vid_res_008_man_standing_by_water_dispenser_frame_01.jpg,person by water dispenser,find man standing by water dispenser,find,person,by water dispenser,person by water dispenser,man standing by water dispenser,person,person,976.0,272.0,1203.0,693.0,ground_truth_boxes.csv,1017.0,279.0,1192.0,679.0,0.1218746528029441,person,success,True,0.7324704134272291,True,strict_success,google/owlvit-base-patch32; threshold=0.05; area=0.034; rank=0.159
OWL ViT,owlvit,vid_res_008_man_standing_by_water_dispenser_frame_02,examples/residence_images/vid_res_008_man_standing_by_water_dispenser_frame_02.jpg,person by water dispenser,find man standing by water dispenser,find,person,by water dispenser,person by water dispenser,man standing by water dispenser,person,person,1074.0,238.0,1283.0,665.0,ground_truth_boxes.csv,1100.0,251.0,1272.0,654.0,0.1346328258514404,person,success,True,0.776710778436404,True,strict_success,google/owlvit-base-patch32; threshold=0.05; area=0.033; rank=0.172
OWL ViT,owlvit,vid_res_008_man_standing_by_water_dispenser_frame_03,examples/residence_images/vid_res_008_man_standing_by_water_dispenser_frame_03.jpg,person by water dispenser,find man standing by water dispenser,find,person,by water dispenser,person by water dispenser,man standing by water dispenser,person,person,1074.0,222.0,1305.0,671.0,ground_truth_boxes.csv,1118.0,240.0,1291.0,656.0,0.1384620815515518,person,success,True,0.693874796324685,True,strict_success,google/owlvit-base-patch32; threshold=0.05; area=0.035; rank=0.176
OWL ViT,owlvit,vid_res_009_door_on_the_right_frame_01,examples/residence_images/vid_res_009_door_on_the_right_frame_01.jpg,door on right,find door on the right,find,door,on right,door on right,door on the right,door,object,1214.0,5.0,1459.0,1072.0,ground_truth_boxes.csv,1230.0,0.0,1438.0,1009.0,0.1178605109453201,door,success,True,0.79568687965556,True,strict_success,google/owlvit-base-patch32; threshold=0.05; area=0.101; rank=0.150
OWL ViT,owlvit,vid_res_009_door_on_the_right_frame_02,examples/residence_images/vid_res_009_door_on_the_right_frame_02.jpg,door on right,find door on the right,find,door,on right,door on right,door on the right,door,object,1214.0,6.0,1472.0,1025.0,ground_truth_boxes.csv,1256.0,0.0,1450.0,1052.0,0.1106253862380981,door,success,True,0.7340626206814603,True,strict_success,google/owlvit-base-patch32; threshold=0.05; area=0.098; rank=0.143
OWL ViT,owlvit,vid_res_009_door_on_the_right_frame_03,examples/residence_images/vid_res_009_door_on_the_right_frame_03.jpg,door on right,find door on the right,find,door,on right,door on right,door on the right,door,object,1174.0,3.0,1463.0,1076.0,ground_truth_boxes.csv,1195.0,0.0,1432.0,1051.0,0.1203400418162345,door,success,True,0.7991300095235644,True,strict_success,google/owlvit-base-patch32; threshold=0.05; area=0.120; rank=0.151
OWL ViT,owlvit,vid_res_010_door_at_end_of_hallway_frame_01,examples/residence_images/vid_res_010_door_at_end_of_hallway_frame_01.jpg,door at hallway,find door at end of hallway,find,door,at end of hallway,door at hallway,door at end of hallway,door,object,680.0,17.0,1083.0,801.0,ground_truth_boxes.csv,689.0,32.0,1056.0,788.0,0.1213262975215911,door at hallway,success,True,0.8781460475008862,True,strict_success,google/owlvit-base-patch32; threshold=0.05; area=0.134; rank=0.151
OWL ViT,owlvit,vid_res_010_door_at_end_of_hallway_frame_02,examples/residence_images/vid_res_010_door_at_end_of_hallway_frame_02.jpg,door at hallway,find door at end of hallway,find,door,at end of hallway,door at hallway,door at end of hallway,door,object,636.0,6.0,1069.0,799.0,ground_truth_boxes.csv,669.0,4.0,1044.0,791.0,0.1196620017290115,door at hallway,success,True,0.8554453546592894,True,strict_success,google/owlvit-base-patch32; threshold=0.05; area=0.142; rank=0.148
OWL ViT,owlvit,vid_res_010_door_at_end_of_hallway_frame_03,examples/residence_images/vid_res_010_door_at_end_of_hallway_frame_03.jpg,door at hallway,find door at end of hallway,find,door,at end of hallway,door at hallway,door at end of hallway,door,object,586.0,2.0,1025.0,802.0,ground_truth_boxes.csv,614.0,0.0,999.0,791.0,0.126740425825119,door at hallway,success,True,0.8630423047418814,True,strict_success,google/owlvit-base-patch32; threshold=0.05; area=0.147; rank=0.155
OWL ViT,owlvit,vid_res_011_door_with_sign_frame_01,examples/residence_images/vid_res_011_door_with_sign_frame_01.jpg,door sign,find door sign,find,door,sign,door sign,door sign,door,object,239.0,9.0,693.0,1073.0,ground_truth_boxes.csv,742.0,0.0,1358.0,1072.0,0.1324150413274765,door,success,True,0.0,False,poor,google/owlvit-base-patch32; threshold=0.05; area=0.318; rank=0.147
OWL ViT,owlvit,vid_res_011_door_with_sign_frame_02,examples/residence_images/vid_res_011_door_with_sign_frame_02.jpg,door sign,find door sign,find,door,sign,door sign,door sign,door,object,234.0,2.0,699.0,1069.0,ground_truth_boxes.csv,739.0,0.0,1351.0,1073.0,0.1707274764776229,hallway door,success,True,0.0,False,poor,google/owlvit-base-patch32; threshold=0.05; area=0.317; rank=0.145
OWL ViT,owlvit,vid_res_011_door_with_sign_frame_03,examples/residence_images/vid_res_011_door_with_sign_frame_03.jpg,door sign,find door sign,find,door,sign,door sign,door sign,door,object,202.0,2.0,691.0,1079.0,ground_truth_boxes.csv,236.0,3.0,665.0,1007.0,0.128749206662178,door,success,True,0.8178364122106966,True,strict_success,google/owlvit-base-patch32; threshold=0.05; area=0.208; rank=0.152
OWL ViT,owlvit,vid_res_012_elevator_call_button_frame_01,examples/residence_images/vid_res_012_elevator_call_button_frame_01.jpg,elevator call button,find elevator call button,find,elevator,call button,elevator call button,elevator call button,elevator,place,1018.0,288.0,1129.0,543.0,ground_truth_boxes.csv,750.0,0.0,1649.0,1073.0,0.0975289195775985,elevator,success,True,0.02934294810325649,False,poor,google/owlvit-base-patch32; threshold=0.05; area=0.465; rank=0.100
OWL ViT,owlvit,vid_res_012_elevator_call_button_frame_02,examples/residence_images/vid_res_012_elevator_call_button_frame_02.jpg,elevator call button,find elevator call button,find,elevator,call button,elevator call button,elevator call button,elevator,place,1020.0,328.0,1117.0,528.0,ground_truth_boxes.csv,747.0,0.0,1733.0,1075.0,0.0880885049700737,elevator,success,True,0.0183027501297231,False,poor,google/owlvit-base-patch32; threshold=0.05; area=0.511; rank=0.087
OWL ViT,owlvit,vid_res_012_elevator_call_button_frame_03,examples/residence_images/vid_res_012_elevator_call_button_frame_03.jpg,elevator call button,find elevator call button,find,elevator,call button,elevator call button,elevator call button,elevator,place,1016.0,320.0,1125.0,526.0,ground_truth_boxes.csv,729.0,0.0,1659.0,1075.0,0.1142156049609184,elevator,success,True,0.02245961490372593,False,poor,google/owlvit-base-patch32; threshold=0.05; area=0.482; rank=0.116
OWL ViT,owlvit,vid_res_013_plant_on_table_frame_01,examples/residence_images/vid_res_013_plant_on_table_frame_01.jpg,plant on table,find plant on table,find,plant,on table,plant on table,plant on table,plant,object,712.0,378.0,1230.0,837.0,ground_truth_boxes.csv,747.0,367.0,1175.0,825.0,0.2666530013084411,plant,success,True,0.7890295706685363,True,strict_success,google/owlvit-base-patch32; threshold=0.05; area=0.095; rank=0.299
OWL ViT,owlvit,vid_res_013_plant_on_table_frame_02,examples/residence_images/vid_res_013_plant_on_table_frame_02.jpg,plant on table,find plant on table,find,plant,on table,plant on table,plant on table,plant,object,720.0,378.0,1173.0,839.0,ground_truth_boxes.csv,747.0,367.0,1175.0,825.0,0.2666530013084411,plant,success,True,0.8880173479142863,True,strict_success,google/owlvit-base-patch32; threshold=0.05; area=0.095; rank=0.299
OWL ViT,owlvit,vid_res_013_plant_on_table_frame_03,examples/residence_images/vid_res_013_plant_on_table_frame_03.jpg,plant on table,find plant on table,find,plant,on table,plant on table,plant on table,plant,object,700.0,364.0,1211.0,823.0,ground_truth_boxes.csv,747.0,367.0,1175.0,825.0,0.2666530013084411,plant,success,True,0.8290732992077483,True,strict_success,google/owlvit-base-patch32; threshold=0.05; area=0.095; rank=0.299
OWL ViT,owlvit,vid_res_014_package_by_the_chair_frame_01,examples/residence_images/vid_res_014_package_by_the_chair_frame_01.jpg,package beside chair,find package beside the chair,find,package,beside chair,package beside chair,package beside the chair,package,object,1243.0,460.0,1361.0,570.0,ground_truth_boxes.csv,1347.0,158.0,1790.0,591.0,0.2074640691280365,chair,success,True,0.007576540276199332,False,poor,google/owlvit-base-patch32; threshold=0.05; area=0.093; rank=0.200
OWL ViT,owlvit,vid_res_014_package_by_the_chair_frame_02,examples/residence_images/vid_res_014_package_by_the_chair_frame_02.jpg,package beside chair,find package beside the chair,find,package,beside chair,package beside chair,package beside the chair,package,object,1285.0,443.0,1403.0,551.0,ground_truth_boxes.csv,678.0,747.0,880.0,932.0,0.1901860237121582,box,success,True,0.0,False,poor,google/owlvit-base-patch32; threshold=0.05; area=0.018; rank=0.229
OWL ViT,owlvit,vid_res_014_package_by_the_chair_frame_03,examples/residence_images/vid_res_014_package_by_the_chair_frame_03.jpg,package beside chair,find package beside the chair,find,package,beside chair,package beside chair,package beside the chair,package,object,1179.0,485.0,1303.0,606.0,ground_truth_boxes.csv,1266.0,164.0,1766.0,647.0,0.2793808877468109,chair,success,True,0.01776396973340158,False,poor,google/owlvit-base-patch32; threshold=0.05; area=0.116; rank=0.270
OWL ViT,owlvit,vid_res_015_package_on_the_chair_frame_01,examples/residence_images/vid_res_015_package_on_the_chair_frame_01.jpg,package on chair,find package on the chair,find,package,on chair,package on chair,package on the chair,package,object,944.0,340.0,1181.0,486.0,ground_truth_boxes.csv,683.0,751.0,976.0,1009.0,0.2373183369636535,box,success,True,0.0,False,poor,google/owlvit-base-patch32; threshold=0.05; area=0.036; rank=0.274
OWL ViT,owlvit,vid_res_015_package_on_the_chair_frame_02,examples/residence_images/vid_res_015_package_on_the_chair_frame_02.jpg,package on chair,find package on the chair,find,package,on chair,package on chair,package on the chair,package,object,961.0,329.0,1195.0,462.0,ground_truth_boxes.csv,705.0,722.0,993.0,969.0,0.1484249681234359,box,success,True,0.0,False,poor,google/owlvit-base-patch32; threshold=0.05; area=0.034; rank=0.186
OWL ViT,owlvit,vid_res_015_package_on_the_chair_frame_03,examples/residence_images/vid_res_015_package_on_the_chair_frame_03.jpg,package on chair,find package on the chair,find,package,on chair,package on chair,package on the chair,package,object,992.0,336.0,1247.0,483.0,ground_truth_boxes.csv,725.0,752.0,1036.0,1021.0,0.1739794164896011,box,success,True,0.0,False,poor,google/owlvit-base-patch32; threshold=0.05; area=0.040; rank=0.211
OWL ViT,owlvit,vid_res_016_packages_on_floor_frame_01,examples/residence_images/vid_res_016_packages_on_floor_frame_01.jpg,package on floor,find packages on floor,find,package,on floor,package on floor,packages on floor,package,object,616.0,562.0,1180.0,1025.0,ground_truth_boxes.csv,683.0,751.0,976.0,1009.0,0.2373183369636535,box,success,True,0.2894857773080281,True,success,google/owlvit-base-patch32; threshold=0.05; area=0.036; rank=0.274
OWL ViT,owlvit,vid_res_016_packages_on_floor_frame_02,examples/residence_images/vid_res_016_packages_on_floor_frame_02.jpg,package on floor,find packages on floor,find,package,on floor,package on floor,packages on floor,package,object,665.0,531.0,1193.0,992.0,ground_truth_boxes.csv,705.0,722.0,993.0,969.0,0.1484249681234359,box,success,True,0.29225004929994086,True,success,google/owlvit-base-patch32; threshold=0.05; area=0.034; rank=0.186
OWL ViT,owlvit,vid_res_016_packages_on_floor_frame_03,examples/residence_images/vid_res_016_packages_on_floor_frame_03.jpg,package on floor,find packages on floor,find,package,on floor,package on floor,packages on floor,package,object,702.0,548.0,1220.0,1036.0,ground_truth_boxes.csv,725.0,752.0,1036.0,1021.0,0.1739794164896011,box,success,True,0.33095053484397746,True,success,google/owlvit-base-patch32; threshold=0.05; area=0.040; rank=0.211
OWL ViT,owlvit,vid_res_017_package_not_red_box_frame_01,examples/residence_images/vid_res_017_package_not_red_box_frame_01.jpg,package not red,find package not red,find,package,not red,package not red,package not red,package,object,855.0,693.0,1041.0,868.0,ground_truth_boxes.csv,862.0,698.0,1025.0,860.0,0.1551902592182159,box,success,True,0.8112442396313364,True,strict_success,google/owlvit-base-patch32; threshold=0.05; area=0.013; rank=0.194
OWL ViT,owlvit,vid_res_017_package_not_red_box_frame_02,examples/residence_images/vid_res_017_package_not_red_box_frame_02.jpg,package not red,find package not red,find,package,not red,package not red,package not red,package,object,895.0,563.0,1052.0,707.0,ground_truth_boxes.csv,905.0,576.0,1041.0,688.0,0.1169464066624641,box,success,True,0.6737438075017693,True,strict_success,google/owlvit-base-patch32; threshold=0.05; area=0.007; rank=0.156
OWL ViT,owlvit,vid_res_017_package_not_red_box_frame_03,examples/residence_images/vid_res_017_package_not_red_box_frame_03.jpg,package not red,find package not red,find,package,not red,package not red,package not red,package,object,972.0,442.0,1146.0,603.0,ground_truth_boxes.csv,980.0,456.0,1137.0,586.0,0.1500351876020431,box,success,True,0.7285642892839295,True,strict_success,google/owlvit-base-patch32; threshold=0.05; area=0.010; rank=0.189
OWL ViT,owlvit,vid_res_018_package_hidden_by_chair_frame_01,examples/residence_images/vid_res_018_package_hidden_by_chair_frame_01.jpg,package by chair,find package partially covered by chair,find,package,by chair,package by chair,package partially covered by chair,package,object,975.0,604.0,1088.0,801.0,ground_truth_boxes.csv,67.0,90.0,1108.0,1029.0,0.2173268944025039,chair,success,True,0.022773424832148167,False,poor,google/owlvit-base-patch32; threshold=0.05; area=0.471; rank=0.180
OWL ViT,owlvit,vid_res_018_package_hidden_by_chair_frame_02,examples/residence_images/vid_res_018_package_hidden_by_chair_frame_02.jpg,package by chair,find package partially covered by chair,find,package,by chair,package by chair,package partially covered by chair,package,object,917.0,566.0,1045.0,762.0,ground_truth_boxes.csv,598.0,0.0,1338.0,370.0,0.2844403982162475,chair,success,True,0.0,False,poor,google/owlvit-base-patch32; threshold=0.05; area=0.132; rank=0.274
OWL ViT,owlvit,vid_res_018_package_hidden_by_chair_frame_03,examples/residence_images/vid_res_018_package_hidden_by_chair_frame_03.jpg,package by chair,find package partially covered by chair,find,package,by chair,package by chair,package partially covered by chair,package,object,891.0,562.0,1037.0,761.0,ground_truth_boxes.csv,592.0,0.0,1320.0,356.0,0.2434245944023132,chair,success,True,0.0,False,poor,google/owlvit-base-patch32; threshold=0.05; area=0.125; rank=0.233
OWL ViT,owlvit,vid_res_019_package_on_chair_frame_01,examples/residence_images/vid_res_019_package_on_chair_frame_01.jpg,package on chair,find package on chair,find,package,on chair,package on chair,package on chair,package,object,942.0,350.0,1176.0,479.0,ground_truth_boxes.csv,683.0,751.0,976.0,1009.0,0.2373183369636535,box,success,True,0.0,False,poor,google/owlvit-base-patch32; threshold=0.05; area=0.036; rank=0.274
OWL ViT,owlvit,vid_res_019_package_on_chair_frame_02,examples/residence_images/vid_res_019_package_on_chair_frame_02.jpg,package on chair,find package on chair,find,package,on chair,package on chair,package on chair,package,object,963.0,330.0,1194.0,461.0,ground_truth_boxes.csv,705.0,722.0,993.0,969.0,0.1484249681234359,box,success,True,0.0,False,poor,google/owlvit-base-patch32; threshold=0.05; area=0.034; rank=0.186
OWL ViT,owlvit,vid_res_019_package_on_chair_frame_03,examples/residence_images/vid_res_019_package_on_chair_frame_03.jpg,package on chair,find package on chair,find,package,on chair,package on chair,package on chair,package,object,999.0,336.0,1232.0,482.0,ground_truth_boxes.csv,725.0,752.0,1036.0,1021.0,0.1739794164896011,box,success,True,0.0,False,poor,google/owlvit-base-patch32; threshold=0.05; area=0.040; rank=0.211
OWL ViT,owlvit,vid_res_020_package_on_table_frame_01,examples/residence_images/vid_res_020_package_on_table_frame_01.jpg,package on table,find package on table,find,package,on table,package on table,package on table,package,object,748.0,41.0,1036.0,206.0,ground_truth_boxes.csv,763.0,53.0,1038.0,195.0,0.1672464311122894,box,success,True,0.8109363233202243,True,strict_success,google/owlvit-base-patch32; threshold=0.05; area=0.019; rank=0.206
OWL ViT,owlvit,vid_res_020_package_on_table_frame_02,examples/residence_images/vid_res_020_package_on_table_frame_02.jpg,package on table,find package on table,find,package,on table,package on table,package on table,package,object,703.0,57.0,985.0,217.0,ground_truth_boxes.csv,723.0,73.0,968.0,204.0,0.1236451789736747,box,success,True,0.7113253546099291,True,strict_success,google/owlvit-base-patch32; threshold=0.05; area=0.015; rank=0.162
OWL ViT,owlvit,vid_res_020_package_on_table_frame_03,examples/residence_images/vid_res_020_package_on_table_frame_03.jpg,package on table,find package on table,find,package,on table,package on table,package on table,package,object,758.0,26.0,1055.0,195.0,ground_truth_boxes.csv,778.0,40.0,1040.0,186.0,0.1400058716535568,box,success,True,0.7620983005598391,True,strict_success,google/owlvit-base-patch32; threshold=0.05; area=0.018; rank=0.179
OWL ViT,owlvit,vid_res_021_package_on_chair_frame_01,examples/residence_images/vid_res_021_package_on_chair_frame_01.jpg,package on chair,find package on chair,find,package,on chair,package on chair,package on chair,package,object,572.0,327.0,796.0,511.0,ground_truth_boxes.csv,763.0,53.0,1038.0,195.0,0.1672464311122894,box,success,True,0.0,False,poor,google/owlvit-base-patch32; threshold=0.05; area=0.019; rank=0.206
OWL ViT,owlvit,vid_res_021_package_on_chair_frame_02,examples/residence_images/vid_res_021_package_on_chair_frame_02.jpg,package on chair,find package on chair,find,package,on chair,package on chair,package on chair,package,object,554.0,330.0,780.0,501.0,ground_truth_boxes.csv,352.0,258.0,837.0,1027.0,0.1887087821960449,chair,success,True,0.10361830198544099,False,weak_overlap,google/owlvit-base-patch32; threshold=0.05; area=0.180; rank=0.174
OWL ViT,owlvit,vid_res_021_package_on_chair_frame_03,examples/residence_images/vid_res_021_package_on_chair_frame_03.jpg,package on chair,find package on chair,find,package,on chair,package on chair,package on chair,package,object,561.0,311.0,760.0,488.0,ground_truth_boxes.csv,778.0,40.0,1040.0,186.0,0.1400058716535568,box,success,True,0.0,False,poor,google/owlvit-base-patch32; threshold=0.05; area=0.018; rank=0.179
OWL ViT,owlvit,vid_res_022_package_on_floor_frame_01,examples/residence_images/vid_res_022_package_on_floor_frame_01.jpg,package on floor,find package on floor,find,package,on floor,package on floor,package on floor,package,object,970.0,882.0,1197.0,1055.0,ground_truth_boxes.csv,763.0,53.0,1038.0,195.0,0.1672464311122894,box,success,True,0.0,False,poor,google/owlvit-base-patch32; threshold=0.05; area=0.019; rank=0.206
OWL ViT,owlvit,vid_res_022_package_on_floor_frame_02,examples/residence_images/vid_res_022_package_on_floor_frame_02.jpg,package on floor,find package on floor,find,package,on floor,package on floor,package on floor,package,object,934.0,814.0,1173.0,985.0,ground_truth_boxes.csv,723.0,73.0,968.0,204.0,0.1236451789736747,box,success,True,0.0,False,poor,google/owlvit-base-patch32; threshold=0.05; area=0.015; rank=0.162
