model_name,model_key,image_id,image_path,grounding_prompt,source_command,parsed_action,parsed_target_object,parsed_location_hint,model_grounding_prompt,original_grounding_prompt,target_object,target_type,gt_x_min,gt_y_min,gt_x_max,gt_y_max,ground_truth_source,pred_x_min,pred_y_min,pred_x_max,pred_y_max,confidence,matched_phrase,status,has_valid_prediction_box,iou,target_correct,bbox_quality,notes
Grounding DINO,grounding_dino,vid_res_001_man_in_lobby_by_door_frame_01,examples/residence_images/vid_res_001_man_in_lobby_by_door_frame_01.jpg,person by door,find man by door,find,person,by door,person by door,man by door,person,person,966.0,267.0,1185.0,852.0,ground_truth_boxes.csv,1694.0,372.0,1763.0,509.0,0.1530692875385284,person by door,success,True,0.0,False,poor,IDEA-Research/grounding-dino-tiny; threshold=0.08; area=0.005; rank=0.193
Grounding DINO,grounding_dino,vid_res_007_man_standing_by_table_frame_02,examples/residence_images/vid_res_007_man_standing_by_table_frame_02.jpg,person by table,find man standing by table,find,person,by table,person by table,man standing by table,person,person,672.0,179.0,971.0,999.0,ground_truth_boxes.csv,1095.0,509.0,1235.0,608.0,0.2128006368875503,person by table,success,True,0.0,False,poor,IDEA-Research/grounding-dino-tiny; threshold=0.08; area=0.007; rank=0.252
Grounding DINO,grounding_dino,vid_res_007_man_standing_by_table_frame_03,examples/residence_images/vid_res_007_man_standing_by_table_frame_03.jpg,person by table,find man standing by table,find,person,by table,person by table,man standing by table,person,person,670.0,181.0,963.0,993.0,ground_truth_boxes.csv,1099.0,508.0,1240.0,607.0,0.2196028232574463,person by table,success,True,0.0,False,poor,IDEA-Research/grounding-dino-tiny; threshold=0.08; area=0.007; rank=0.259
Grounding DINO,grounding_dino,vid_res_008_man_standing_by_water_dispenser_frame_01,examples/residence_images/vid_res_008_man_standing_by_water_dispenser_frame_01.jpg,person by water dispenser,find man standing by water dispenser,find,person,by water dispenser,person by water dispenser,man standing by water dispenser,person,person,976.0,272.0,1203.0,693.0,ground_truth_boxes.csv,998.0,282.0,1184.0,675.0,0.2074060589075088,person by water dispenser,success,True,0.7648874611529084,True,strict_success,IDEA-Research/grounding-dino-tiny; threshold=0.08; area=0.035; rank=0.245
Grounding DINO,grounding_dino,vid_res_008_man_standing_by_water_dispenser_frame_02,examples/residence_images/vid_res_008_man_standing_by_water_dispenser_frame_02.jpg,person by water dispenser,find man standing by water dispenser,find,person,by water dispenser,person by water dispenser,man standing by water dispenser,person,person,1074.0,238.0,1283.0,665.0,ground_truth_boxes.csv,1076.0,252.0,1264.0,660.0,0.2234539836645126,person by water dispenser,success,True,0.8594959828782089,True,strict_success,IDEA-Research/grounding-dino-tiny; threshold=0.08; area=0.037; rank=0.260
Grounding DINO,grounding_dino,vid_res_008_man_standing_by_water_dispenser_frame_03,examples/residence_images/vid_res_008_man_standing_by_water_dispenser_frame_03.jpg,person by water dispenser,find man standing by water dispenser,find,person,by water dispenser,person by water dispenser,man standing by water dispenser,person,person,1074.0,222.0,1305.0,671.0,ground_truth_boxes.csv,1089.0,242.0,1280.0,653.0,0.2104935646057129,person by water dispenser,success,True,0.7568622913834495,True,strict_success,IDEA-Research/grounding-dino-tiny; threshold=0.08; area=0.038; rank=0.247
Grounding DINO,grounding_dino,vid_res_009_door_on_the_right_frame_01,examples/residence_images/vid_res_009_door_on_the_right_frame_01.jpg,door on right,find door on the right,find,door,on right,door on right,door on the right,door,object,1214.0,5.0,1459.0,1072.0,ground_truth_boxes.csv,790.0,136.0,951.0,245.0,0.2222846001386642,door on right,success,True,0.0,False,poor,IDEA-Research/grounding-dino-tiny; threshold=0.08; area=0.008; rank=0.262
Grounding DINO,grounding_dino,vid_res_009_door_on_the_right_frame_02,examples/residence_images/vid_res_009_door_on_the_right_frame_02.jpg,door on right,find door on the right,find,door,on right,door on right,door on the right,door,object,1214.0,6.0,1472.0,1025.0,ground_truth_boxes.csv,755.0,109.0,922.0,222.0,0.2343474328517913,door on right,success,True,0.0,False,poor,IDEA-Research/grounding-dino-tiny; threshold=0.08; area=0.009; rank=0.274
Grounding DINO,grounding_dino,vid_res_009_door_on_the_right_frame_03,examples/residence_images/vid_res_009_door_on_the_right_frame_03.jpg,door on right,find door on the right,find,door,on right,door on right,door on the right,door,object,1174.0,3.0,1463.0,1076.0,ground_truth_boxes.csv,707.0,95.0,879.0,211.0,0.2319497913122177,door on right,success,True,0.0,False,poor,IDEA-Research/grounding-dino-tiny; threshold=0.08; area=0.010; rank=0.271
Grounding DINO,grounding_dino,vid_res_010_door_at_end_of_hallway_frame_01,examples/residence_images/vid_res_010_door_at_end_of_hallway_frame_01.jpg,door at hallway,find door at end of hallway,find,door,at end of hallway,door at hallway,door at end of hallway,door,object,680.0,17.0,1083.0,801.0,ground_truth_boxes.csv,790.0,136.0,951.0,245.0,0.2122212797403335,apartment door,success,True,0.05554324707550514,False,poor,IDEA-Research/grounding-dino-tiny; threshold=0.08; area=0.008; rank=0.252
Grounding DINO,grounding_dino,vid_res_010_door_at_end_of_hallway_frame_02,examples/residence_images/vid_res_010_door_at_end_of_hallway_frame_02.jpg,door at hallway,find door at end of hallway,find,door,at end of hallway,door at hallway,door at end of hallway,door,object,636.0,6.0,1069.0,799.0,ground_truth_boxes.csv,755.0,108.0,922.0,222.0,0.2236418277025222,apartment door,success,True,0.05544472564500581,False,poor,IDEA-Research/grounding-dino-tiny; threshold=0.08; area=0.009; rank=0.263
Grounding DINO,grounding_dino,vid_res_010_door_at_end_of_hallway_frame_03,examples/residence_images/vid_res_010_door_at_end_of_hallway_frame_03.jpg,door at hallway,find door at end of hallway,find,door,at end of hallway,door at hallway,door at end of hallway,door,object,586.0,2.0,1025.0,802.0,ground_truth_boxes.csv,707.0,96.0,879.0,211.0,0.2633868753910064,door at end of hallway,success,True,0.05632118451025057,False,poor,IDEA-Research/grounding-dino-tiny; threshold=0.08; area=0.010; rank=0.263
Grounding DINO,grounding_dino,vid_res_011_door_with_sign_frame_01,examples/residence_images/vid_res_011_door_with_sign_frame_01.jpg,door sign,find door sign,find,door,sign,door sign,door sign,door,object,239.0,9.0,693.0,1073.0,ground_truth_boxes.csv,387.0,0.0,548.0,151.0,0.2899611294269562,door sign near door,success,True,0.04718630354691902,False,poor,IDEA-Research/grounding-dino-tiny; threshold=0.08; area=0.012; rank=0.289
Grounding DINO,grounding_dino,vid_res_011_door_with_sign_frame_02,examples/residence_images/vid_res_011_door_with_sign_frame_02.jpg,door sign,find door sign,find,door,sign,door sign,door sign,door,object,234.0,2.0,699.0,1069.0,ground_truth_boxes.csv,383.0,0.0,541.0,153.0,0.2876384258270263,door sign near door,success,True,0.0480551734139557,False,poor,IDEA-Research/grounding-dino-tiny; threshold=0.08; area=0.012; rank=0.287
Grounding DINO,grounding_dino,vid_res_011_door_with_sign_frame_03,examples/residence_images/vid_res_011_door_with_sign_frame_03.jpg,door sign,find door sign,find,door,sign,door sign,door sign,door,object,202.0,2.0,691.0,1079.0,ground_truth_boxes.csv,376.0,0.0,537.0,155.0,0.2817994356155395,door sign near door,success,True,0.04674415294843209,False,poor,IDEA-Research/grounding-dino-tiny; threshold=0.08; area=0.012; rank=0.281
Grounding DINO,grounding_dino,vid_res_012_elevator_call_button_frame_01,examples/residence_images/vid_res_012_elevator_call_button_frame_01.jpg,elevator call button,find elevator call button,find,elevator,call button,elevator call button,elevator call button,elevator,place,1018.0,288.0,1129.0,543.0,ground_truth_boxes.csv,1070.0,88.0,1209.0,315.0,0.1825712323188781,elevator call button,success,True,0.027340598987385223,False,poor,IDEA-Research/grounding-dino-tiny; threshold=0.08; area=0.015; rank=0.221
Grounding DINO,grounding_dino,vid_res_012_elevator_call_button_frame_02,examples/residence_images/vid_res_012_elevator_call_button_frame_02.jpg,elevator call button,find elevator call button,find,elevator,call button,elevator call button,elevator call button,elevator,place,1020.0,328.0,1117.0,528.0,ground_truth_boxes.csv,899.0,88.0,1060.0,332.0,0.1930486112833023,elevator call button,success,True,0.002733921126375504,False,poor,IDEA-Research/grounding-dino-tiny; threshold=0.08; area=0.019; rank=0.232
Grounding DINO,grounding_dino,vid_res_012_elevator_call_button_frame_03,examples/residence_images/vid_res_012_elevator_call_button_frame_03.jpg,elevator call button,find elevator call button,find,elevator,call button,elevator call button,elevator call button,elevator,place,1016.0,320.0,1125.0,526.0,ground_truth_boxes.csv,902.0,86.0,1061.0,328.0,0.1882415562868118,elevator call button,success,True,0.005943340157168329,False,poor,IDEA-Research/grounding-dino-tiny; threshold=0.08; area=0.019; rank=0.227
Grounding DINO,grounding_dino,vid_res_013_plant_on_table_frame_01,examples/residence_images/vid_res_013_plant_on_table_frame_01.jpg,plant on table,find plant on table,find,plant,on table,plant on table,plant on table,plant,object,712.0,378.0,1230.0,837.0,ground_truth_boxes.csv,732.0,365.0,1161.0,836.0,0.2580336928367615,plant near table,success,True,0.8074414705410969,True,strict_success,IDEA-Research/grounding-dino-tiny; threshold=0.08; area=0.097; rank=0.290
Grounding DINO,grounding_dino,vid_res_013_plant_on_table_frame_02,examples/residence_images/vid_res_013_plant_on_table_frame_02.jpg,plant on table,find plant on table,find,plant,on table,plant on table,plant on table,plant,object,720.0,378.0,1173.0,839.0,ground_truth_boxes.csv,732.0,365.0,1161.0,836.0,0.2580336928367615,plant near table,success,True,0.9163844969917447,True,strict_success,IDEA-Research/grounding-dino-tiny; threshold=0.08; area=0.097; rank=0.290
Grounding DINO,grounding_dino,vid_res_013_plant_on_table_frame_03,examples/residence_images/vid_res_013_plant_on_table_frame_03.jpg,plant on table,find plant on table,find,plant,on table,plant on table,plant on table,plant,object,700.0,364.0,1211.0,823.0,ground_truth_boxes.csv,732.0,365.0,1161.0,836.0,0.2580336928367615,plant near table,success,True,0.8182454211538942,True,strict_success,IDEA-Research/grounding-dino-tiny; threshold=0.08; area=0.097; rank=0.290
Grounding DINO,grounding_dino,vid_res_014_package_by_the_chair_frame_01,examples/residence_images/vid_res_014_package_by_the_chair_frame_01.jpg,package beside chair,find package beside the chair,find,package,beside chair,package beside chair,package beside the chair,package,object,1243.0,460.0,1361.0,570.0,ground_truth_boxes.csv,1357.0,146.0,1790.0,596.0,0.3804351389408111,package beside chair,success,True,0.0021216066348425672,False,poor,IDEA-Research/grounding-dino-tiny; threshold=0.08; area=0.094; rank=0.413
Grounding DINO,grounding_dino,vid_res_014_package_by_the_chair_frame_02,examples/residence_images/vid_res_014_package_by_the_chair_frame_02.jpg,package beside chair,find package beside the chair,find,package,beside chair,package beside chair,package beside the chair,package,object,1285.0,443.0,1403.0,551.0,ground_truth_boxes.csv,1405.0,95.0,1898.0,591.0,0.379826009273529,package beside chair,success,True,0.0,False,poor,IDEA-Research/grounding-dino-tiny; threshold=0.08; area=0.118; rank=0.410
Grounding DINO,grounding_dino,vid_res_014_package_by_the_chair_frame_03,examples/residence_images/vid_res_014_package_by_the_chair_frame_03.jpg,package beside chair,find package beside the chair,find,package,beside chair,package beside chair,package beside the chair,package,object,1179.0,485.0,1303.0,606.0,ground_truth_boxes.csv,1298.0,153.0,1761.0,641.0,0.3874609172344208,package beside chair,success,True,0.0025172357838589014,False,poor,IDEA-Research/grounding-dino-tiny; threshold=0.08; area=0.109; rank=0.419
Grounding DINO,grounding_dino,vid_res_015_package_on_the_chair_frame_01,examples/residence_images/vid_res_015_package_on_the_chair_frame_01.jpg,package on chair,find package on the chair,find,package,on chair,package on chair,package on the chair,package,object,944.0,340.0,1181.0,486.0,ground_truth_boxes.csv,810.0,64.0,1397.0,755.0,0.3758440017700195,package on chair,success,True,0.08530707539378281,False,poor,IDEA-Research/grounding-dino-tiny; threshold=0.08; area=0.196; rank=0.400
Grounding DINO,grounding_dino,vid_res_015_package_on_the_chair_frame_02,examples/residence_images/vid_res_015_package_on_the_chair_frame_02.jpg,package on chair,find package on the chair,find,package,on chair,package on chair,package on the chair,package,object,961.0,329.0,1195.0,462.0,ground_truth_boxes.csv,832.0,53.0,1411.0,732.0,0.3767701387405395,package on chair,success,True,0.07916243790395812,False,poor,IDEA-Research/grounding-dino-tiny; threshold=0.08; area=0.190; rank=0.402
Grounding DINO,grounding_dino,vid_res_015_package_on_the_chair_frame_03,examples/residence_images/vid_res_015_package_on_the_chair_frame_03.jpg,package on chair,find package on the chair,find,package,on chair,package on chair,package on the chair,package,object,992.0,336.0,1247.0,483.0,ground_truth_boxes.csv,865.0,29.0,1469.0,746.0,0.3695002198219299,package on chair,success,True,0.08655684557621436,False,poor,IDEA-Research/grounding-dino-tiny; threshold=0.08; area=0.209; rank=0.393
Grounding DINO,grounding_dino,vid_res_016_packages_on_floor_frame_01,examples/residence_images/vid_res_016_packages_on_floor_frame_01.jpg,package on floor,find packages on floor,find,package,on floor,package on floor,packages on floor,package,object,616.0,562.0,1180.0,1025.0,ground_truth_boxes.csv,955.0,361.0,1161.0,471.0,0.2263811975717544,box,success,True,0.0,False,poor,IDEA-Research/grounding-dino-tiny; threshold=0.08; area=0.011; rank=0.266
Grounding DINO,grounding_dino,vid_res_016_packages_on_floor_frame_02,examples/residence_images/vid_res_016_packages_on_floor_frame_02.jpg,package on floor,find packages on floor,find,package,on floor,package on floor,packages on floor,package,object,665.0,531.0,1193.0,992.0,ground_truth_boxes.csv,975.0,343.0,1177.0,450.0,0.2188467532396316,box,success,True,0.0,False,poor,IDEA-Research/grounding-dino-tiny; threshold=0.08; area=0.010; rank=0.258
Grounding DINO,grounding_dino,vid_res_016_packages_on_floor_frame_03,examples/residence_images/vid_res_016_packages_on_floor_frame_03.jpg,package on floor,find packages on floor,find,package,on floor,package on floor,packages on floor,package,object,702.0,548.0,1220.0,1036.0,ground_truth_boxes.csv,1011.0,347.0,1222.0,468.0,0.2348781675100326,package on floor,success,True,0.0,False,poor,IDEA-Research/grounding-dino-tiny; threshold=0.08; area=0.012; rank=0.274
Grounding DINO,grounding_dino,vid_res_017_package_not_red_box_frame_01,examples/residence_images/vid_res_017_package_not_red_box_frame_01.jpg,package not red,find package not red,find,package,not red,package not red,package not red,package,object,855.0,693.0,1041.0,868.0,ground_truth_boxes.csv,867.0,702.0,1022.0,859.0,0.3487035632133484,package not red,success,True,0.7476190476190476,True,strict_success,IDEA-Research/grounding-dino-tiny; threshold=0.08; area=0.012; rank=0.388
Grounding DINO,grounding_dino,vid_res_017_package_not_red_box_frame_02,examples/residence_images/vid_res_017_package_not_red_box_frame_02.jpg,package not red,find package not red,find,package,not red,package not red,package not red,package,object,895.0,563.0,1052.0,707.0,ground_truth_boxes.csv,905.0,576.0,1034.0,690.0,0.3684873282909393,package not red,success,True,0.6504777070063694,True,strict_success,IDEA-Research/grounding-dino-tiny; threshold=0.08; area=0.007; rank=0.408
Grounding DINO,grounding_dino,vid_res_017_package_not_red_box_frame_03,examples/residence_images/vid_res_017_package_not_red_box_frame_03.jpg,package not red,find package not red,find,package,not red,package not red,package not red,package,object,972.0,442.0,1146.0,603.0,ground_truth_boxes.csv,977.0,459.0,1134.0,590.0,0.3377582728862762,package not red,success,True,0.734168629970729,True,strict_success,IDEA-Research/grounding-dino-tiny; threshold=0.08; area=0.010; rank=0.377
Grounding DINO,grounding_dino,vid_res_018_package_hidden_by_chair_frame_01,examples/residence_images/vid_res_018_package_hidden_by_chair_frame_01.jpg,package by chair,find package partially covered by chair,find,package,by chair,package by chair,package partially covered by chair,package,object,975.0,604.0,1088.0,801.0,ground_truth_boxes.csv,86.0,105.0,1075.0,1041.0,0.3675636649131775,package by chair,success,True,0.021222388003425748,False,poor,IDEA-Research/grounding-dino-tiny; threshold=0.08; area=0.446; rank=0.372
Grounding DINO,grounding_dino,vid_res_018_package_hidden_by_chair_frame_02,examples/residence_images/vid_res_018_package_hidden_by_chair_frame_02.jpg,package by chair,find package partially covered by chair,find,package,by chair,package by chair,package partially covered by chair,package,object,917.0,566.0,1045.0,762.0,ground_truth_boxes.csv,27.0,94.0,1021.0,1015.0,0.36602982878685,package by chair,success,True,0.022152235763080622,False,poor,IDEA-Research/grounding-dino-tiny; threshold=0.08; area=0.441; rank=0.371
Grounding DINO,grounding_dino,vid_res_018_package_hidden_by_chair_frame_03,examples/residence_images/vid_res_018_package_hidden_by_chair_frame_03.jpg,package by chair,find package partially covered by chair,find,package,by chair,package by chair,package partially covered by chair,package,object,891.0,562.0,1037.0,761.0,ground_truth_boxes.csv,8.0,90.0,997.0,1011.0,0.3718438446521759,package by chair,success,True,0.02295748175122901,False,poor,IDEA-Research/grounding-dino-tiny; threshold=0.08; area=0.439; rank=0.377
Grounding DINO,grounding_dino,vid_res_019_package_on_chair_frame_01,examples/residence_images/vid_res_019_package_on_chair_frame_01.jpg,package on chair,find package on chair,find,package,on chair,package on chair,package on chair,package,object,942.0,350.0,1176.0,479.0,ground_truth_boxes.csv,810.0,64.0,1397.0,755.0,0.3758440017700195,package on chair,success,True,0.07441995774338847,False,poor,IDEA-Research/grounding-dino-tiny; threshold=0.08; area=0.196; rank=0.400
Grounding DINO,grounding_dino,vid_res_019_package_on_chair_frame_02,examples/residence_images/vid_res_019_package_on_chair_frame_02.jpg,package on chair,find package on chair,find,package,on chair,package on chair,package on chair,package,object,963.0,330.0,1194.0,461.0,ground_truth_boxes.csv,832.0,53.0,1411.0,732.0,0.3767701387405395,package on chair,success,True,0.07697238395384862,False,poor,IDEA-Research/grounding-dino-tiny; threshold=0.08; area=0.190; rank=0.402
Grounding DINO,grounding_dino,vid_res_019_package_on_chair_frame_03,examples/residence_images/vid_res_019_package_on_chair_frame_03.jpg,package on chair,find package on chair,find,package,on chair,package on chair,package on chair,package,object,999.0,336.0,1232.0,482.0,ground_truth_boxes.csv,865.0,29.0,1469.0,746.0,0.3695002198219299,package on chair,success,True,0.07855117441140883,False,poor,IDEA-Research/grounding-dino-tiny; threshold=0.08; area=0.209; rank=0.393
Grounding DINO,grounding_dino,vid_res_020_package_on_table_frame_01,examples/residence_images/vid_res_020_package_on_table_frame_01.jpg,package on table,find package on table,find,package,on table,package on table,package on table,package,object,748.0,41.0,1036.0,206.0,ground_truth_boxes.csv,633.0,140.0,1141.0,897.0,0.3646010756492615,desk,success,True,0.04601663648600231,False,poor,IDEA-Research/grounding-dino-tiny; threshold=0.08; area=0.185; rank=0.350
Grounding DINO,grounding_dino,vid_res_020_package_on_table_frame_02,examples/residence_images/vid_res_020_package_on_table_frame_02.jpg,package on table,find package on table,find,package,on table,package on table,package on table,package,object,703.0,57.0,985.0,217.0,ground_truth_boxes.csv,589.0,156.0,1054.0,859.0,0.3503190875053406,desk,success,True,0.04848187636867871,False,poor,IDEA-Research/grounding-dino-tiny; threshold=0.08; area=0.158; rank=0.338
Grounding DINO,grounding_dino,vid_res_020_package_on_table_frame_03,examples/residence_images/vid_res_020_package_on_table_frame_03.jpg,package on table,find package on table,find,package,on table,package on table,package on table,package,object,758.0,26.0,1055.0,195.0,ground_truth_boxes.csv,680.0,128.0,1192.0,896.0,0.3486837744712829,desk,success,True,0.04698590352057803,False,poor,IDEA-Research/grounding-dino-tiny; threshold=0.08; area=0.190; rank=0.334
Grounding DINO,grounding_dino,vid_res_021_package_on_chair_frame_01,examples/residence_images/vid_res_021_package_on_chair_frame_01.jpg,package on chair,find package on chair,find,package,on chair,package on chair,package on chair,package,object,572.0,327.0,796.0,511.0,ground_truth_boxes.csv,371.0,242.0,849.0,1077.0,0.3312118947505951,package on chair,success,True,0.10326460050610077,False,weak_overlap,IDEA-Research/grounding-dino-tiny; threshold=0.08; area=0.192; rank=0.356
Grounding DINO,grounding_dino,vid_res_021_package_on_chair_frame_02,examples/residence_images/vid_res_021_package_on_chair_frame_02.jpg,package on chair,find package on chair,find,package,on chair,package on chair,package on chair,package,object,554.0,330.0,780.0,501.0,ground_truth_boxes.csv,370.0,260.0,824.0,1047.0,0.3459946811199188,package on chair,success,True,0.10816181450777781,False,weak_overlap,IDEA-Research/grounding-dino-tiny; threshold=0.08; area=0.172; rank=0.372
