model_name,model_key,image_id,image_path,grounding_prompt,source_command,parsed_action,parsed_target_object,parsed_location_hint,model_grounding_prompt,original_grounding_prompt,target_object,target_type,gt_x_min,gt_y_min,gt_x_max,gt_y_max,ground_truth_source,pred_x_min,pred_y_min,pred_x_max,pred_y_max,confidence,matched_phrase,status,has_valid_prediction_box,iou,target_correct,bbox_quality,notes
GPT vision interpretation,gpt_vision,vid_res_005_under_the_painting_frame_02,examples/residence_images/vid_res_005_under_the_painting_frame_02.jpg,wall under painting,find white wall under painting,find,wall,under painting,wall under painting,white wall under painting,wall,object,1072.0,483.0,1280.0,713.0,ground_truth_boxes.csv,1000.0,560.0,1240.0,760.0,0.78,wall under painting,success,True,0.36648796623702523,True,success,White wall panel with framed artwork at center-right; box targets the wall area directly below the frame down to the baseboard.
GPT vision interpretation,gpt_vision,vid_res_005_under_the_painting_frame_03,examples/residence_images/vid_res_005_under_the_painting_frame_03.jpg,wall under painting,find wall under painting,find,wall,under painting,wall under painting,wall under painting,wall,object,1005.0,544.0,1251.0,826.0,ground_truth_boxes.csv,1000.0,590.0,1200.0,740.0,0.7,wall under painting,success,True,0.41713014460511677,True,success,White wall section directly below the framed artwork on the right side.
GPT vision interpretation,gpt_vision,vid_res_006_man_by_the_elevator_green_shirt_frame_01,examples/residence_images/vid_res_006_man_by_the_elevator_green_shirt_frame_01.jpg,person by elevator,find man by the elevator green shirt,find,person,by elevator green shirt,person by elevator,man by the elevator green shirt,person,person,806.0,138.0,1123.0,1073.0,ground_truth_boxes.csv,820.0,140.0,1100.0,1070.0,0.9,man by the elevator green shirt,success,True,0.8785573305892475,True,strict_success,Single person standing at the elevator wearing a light green shirt.
GPT vision interpretation,gpt_vision,vid_res_006_man_by_the_elevator_green_shirt_frame_02,examples/residence_images/vid_res_006_man_by_the_elevator_green_shirt_frame_02.jpg,person by elevator,find man by the elevator green shirt,find,person,by elevator green shirt,person by elevator,man by the elevator green shirt,person,person,812.0,130.0,1137.0,1077.0,ground_truth_boxes.csv,780.0,190.0,1120.0,1060.0,0.88,man by the elevator green shirt,success,True,0.7984148503493587,True,strict_success,Single person in light green shirt standing directly in front of the elevator doors.
GPT vision interpretation,gpt_vision,vid_res_006_man_by_the_elevator_green_shirt_frame_03,examples/residence_images/vid_res_006_man_by_the_elevator_green_shirt_frame_03.jpg,person by elevator,find man by the elevator green shirt,find,person,by elevator green shirt,person by elevator,man by the elevator green shirt,person,person,798.0,132.0,1139.0,1073.0,ground_truth_boxes.csv,760.0,210.0,1060.0,1075.0,0.9,man by the elevator green shirt,success,True,0.6382217204149319,True,strict_success,Single person standing directly in front of the elevator wearing a light green shirt.
GPT vision interpretation,gpt_vision,vid_res_007_man_standing_by_table_frame_01,examples/residence_images/vid_res_007_man_standing_by_table_frame_01.jpg,person by table,find man standing by table,find,person,by table,person by table,man standing by table,person,person,686.0,186.0,963.0,920.0,ground_truth_boxes.csv,820.0,230.0,1080.0,870.0,0.87,person by table,success,True,0.3289743276371505,True,success,Single standing person next to the foreground table near the center-left.
GPT vision interpretation,gpt_vision,vid_res_007_man_standing_by_table_frame_02,examples/residence_images/vid_res_007_man_standing_by_table_frame_02.jpg,person by table,find man standing by table,find,person,by table,person by table,man standing by table,person,person,672.0,179.0,971.0,999.0,ground_truth_boxes.csv,830.0,210.0,1120.0,960.0,0.88,person by table,success,True,0.29627658084218195,True,success,Single standing person near the edge of the long table at center-left.
GPT vision interpretation,gpt_vision,vid_res_007_man_standing_by_table_frame_03,examples/residence_images/vid_res_007_man_standing_by_table_frame_03.jpg,person by table,find man standing by table,find,person,by table,person by table,man standing by table,person,person,670.0,181.0,963.0,993.0,ground_truth_boxes.csv,780.0,210.0,1160.0,930.0,0.88,person by table,success,True,0.34695962670767544,True,success,Single person standing next to the long table with chairs near the left-center of the image.
GPT vision interpretation,gpt_vision,vid_res_008_man_standing_by_water_dispenser_frame_01,examples/residence_images/vid_res_008_man_standing_by_water_dispenser_frame_01.jpg,person by water dispenser,find man standing by water dispenser,find,person,by water dispenser,person by water dispenser,man standing by water dispenser,person,person,976.0,272.0,1203.0,693.0,ground_truth_boxes.csv,1005.0,320.0,1235.0,900.0,0.86,person by water dispenser,success,True,0.4761303050034491,True,success,Single person standing at the bottle filler near center-right; approximate box in 1920x1080.
GPT vision interpretation,gpt_vision,vid_res_008_man_standing_by_water_dispenser_frame_02,examples/residence_images/vid_res_008_man_standing_by_water_dispenser_frame_02.jpg,person by water dispenser,find man standing by water dispenser,find,person,by water dispenser,person by water dispenser,man standing by water dispenser,person,person,1074.0,238.0,1283.0,665.0,ground_truth_boxes.csv,1170.0,280.0,1325.0,850.0,0.9,person by water dispenser,success,True,0.32445110673587496,True,success,Person standing at the wall-mounted water fountain/bottle filler in the right-center of the image.
GPT vision interpretation,gpt_vision,vid_res_008_man_standing_by_water_dispenser_frame_03,examples/residence_images/vid_res_008_man_standing_by_water_dispenser_frame_03.jpg,person by water dispenser,find man standing by water dispenser,find,person,by water dispenser,person by water dispenser,man standing by water dispenser,person,person,1074.0,222.0,1305.0,671.0,ground_truth_boxes.csv,1120.0,240.0,1400.0,820.0,0.93,person by water dispenser,success,True,0.42779959653189115,True,success,Single person standing at the bottle-filling station on the right-center of the image.
GPT vision interpretation,gpt_vision,vid_res_009_door_on_the_right_frame_01,examples/residence_images/vid_res_009_door_on_the_right_frame_01.jpg,door on right,find door on the right,find,door,on right,door on right,door on the right,door,object,1214.0,5.0,1459.0,1072.0,ground_truth_boxes.csv,1290.0,40.0,1680.0,1070.0,0.87,door on right,success,True,0.3559386150558742,True,success,"Orange door on the right wall of the hallway, closer to the camera."
GPT vision interpretation,gpt_vision,vid_res_009_door_on_the_right_frame_02,examples/residence_images/vid_res_009_door_on_the_right_frame_02.jpg,door on right,find door on the right,find,door,on right,door on right,door on the right,door,object,1214.0,6.0,1472.0,1025.0,ground_truth_boxes.csv,1270.0,20.0,1919.0,1079.0,0.93,door on the right,success,True,0.2717005071046852,True,success,Rightmost brown door near the camera; partially cut off by the right edge.
GPT vision interpretation,gpt_vision,vid_res_009_door_on_the_right_frame_03,examples/residence_images/vid_res_009_door_on_the_right_frame_03.jpg,door on right,find door on the right,find,door,on right,door on right,door on the right,door,object,1174.0,3.0,1463.0,1076.0,ground_truth_boxes.csv,1260.0,60.0,1800.0,1060.0,0.86,door on right,success,True,0.313708763910202,True,success,Right-side brown door closest to the camera with handle and sign; box approximate.
GPT vision interpretation,gpt_vision,vid_res_010_door_at_end_of_hallway_frame_01,examples/residence_images/vid_res_010_door_at_end_of_hallway_frame_01.jpg,door at hallway,find door at end of hallway,find,door,at end of hallway,door at hallway,door at end of hallway,door,object,680.0,17.0,1083.0,801.0,ground_truth_boxes.csv,760.0,210.0,1160.0,820.0,0.88,door at end of hallway,success,True,0.5172425005215968,True,strict_success,Centered brown door at the hallway's end.
GPT vision interpretation,gpt_vision,vid_res_010_door_at_end_of_hallway_frame_02,examples/residence_images/vid_res_010_door_at_end_of_hallway_frame_02.jpg,door at hallway,find door at end of hallway,find,door,at end of hallway,door at hallway,door at end of hallway,door,object,636.0,6.0,1069.0,799.0,ground_truth_boxes.csv,690.0,100.0,1185.0,740.0,0.93,door at end of hallway,success,True,0.5808303939809726,True,strict_success,Brown door straight ahead at the hallway end; not the side door on the right.
GPT vision interpretation,gpt_vision,vid_res_010_door_at_end_of_hallway_frame_03,examples/residence_images/vid_res_010_door_at_end_of_hallway_frame_03.jpg,door at hallway,find door at end of hallway,find,door,at end of hallway,door at hallway,door at end of hallway,door,object,586.0,2.0,1025.0,802.0,ground_truth_boxes.csv,630.0,110.0,1185.0,790.0,0.86,door at end of hallway,success,True,0.5839130434782609,True,strict_success,Centered brown door facing the camera at the end of the corridor.
GPT vision interpretation,gpt_vision,vid_res_011_door_with_sign_frame_01,examples/residence_images/vid_res_011_door_with_sign_frame_01.jpg,door sign,find door sign,find,door,sign,door sign,door sign,door,object,239.0,9.0,693.0,1073.0,ground_truth_boxes.csv,270.0,125.0,470.0,290.0,0.82,door sign,success,True,0.06831506077970256,False,poor,Colorful paper sign on the upper part of the left orange door.
GPT vision interpretation,gpt_vision,vid_res_011_door_with_sign_frame_02,examples/residence_images/vid_res_011_door_with_sign_frame_02.jpg,door sign,find door sign,find,door,sign,door sign,door sign,door,object,234.0,2.0,699.0,1069.0,ground_truth_boxes.csv,265.0,70.0,455.0,190.0,0.78,door sign,success,True,0.04595338150376394,False,poor,Sign on the left orange door near the top.
GPT vision interpretation,gpt_vision,vid_res_011_door_with_sign_frame_03,examples/residence_images/vid_res_011_door_with_sign_frame_03.jpg,door sign,find door sign,find,door,sign,door sign,door sign,door,object,202.0,2.0,691.0,1079.0,ground_truth_boxes.csv,240.0,120.0,580.0,360.0,0.74,door sign,success,True,0.15494072947462562,False,weak_overlap,Paper sign on the left orange door.
GPT vision interpretation,gpt_vision,vid_res_012_elevator_call_button_frame_01,examples/residence_images/vid_res_012_elevator_call_button_frame_01.jpg,elevator call button,find elevator call button,find,elevator,call button,elevator call button,elevator call button,elevator,place,1018.0,288.0,1129.0,543.0,ground_truth_boxes.csv,1000.0,420.0,1125.0,770.0,0.86,elevator call button,success,True,0.22346928379800998,False,weak_overlap,Button on the vertical metal plate on the central column between the two elevator doors.
GPT vision interpretation,gpt_vision,vid_res_012_elevator_call_button_frame_02,examples/residence_images/vid_res_012_elevator_call_button_frame_02.jpg,elevator call button,find elevator call button,find,elevator,call button,elevator call button,elevator call button,elevator,place,1020.0,328.0,1117.0,528.0,ground_truth_boxes.csv,1075.0,430.0,1145.0,715.0,0.86,elevator call button,success,True,0.11681898166543679,False,weak_overlap,On the center pillar between the two elevator doors; small vertical plate with a circular button.
GPT vision interpretation,gpt_vision,vid_res_012_elevator_call_button_frame_03,examples/residence_images/vid_res_012_elevator_call_button_frame_03.jpg,elevator call button,find elevator call button,find,elevator,call button,elevator call button,elevator call button,elevator,place,1016.0,320.0,1125.0,526.0,ground_truth_boxes.csv,1005.0,440.0,1095.0,690.0,0.88,elevator call button,success,True,0.1780398322851153,False,weak_overlap,White rectangular plate with a single round button on the center column between the two elevator doors.
GPT vision interpretation,gpt_vision,vid_res_013_plant_on_table_frame_01,examples/residence_images/vid_res_013_plant_on_table_frame_01.jpg,plant on table,find plant on table,find,plant,on table,plant on table,plant on table,plant,object,712.0,378.0,1230.0,837.0,ground_truth_boxes.csv,844.0,338.0,1547.0,759.0,0.87,plant on table,success,True,0.38035064488347614,True,success,Green leafy plant on a small round table near the center-right of the image.
GPT vision interpretation,gpt_vision,vid_res_013_plant_on_table_frame_02,examples/residence_images/vid_res_013_plant_on_table_frame_02.jpg,plant on table,find plant on table,find,plant,on table,plant on table,plant on table,plant,object,720.0,378.0,1173.0,839.0,ground_truth_boxes.csv,820.0,380.0,1340.0,800.0,0.87,plant on table,success,True,0.5314492800378531,True,strict_success,Green leafy plant sitting on a small round pedestal table; box includes trailing leaves.
GPT vision interpretation,gpt_vision,vid_res_013_plant_on_table_frame_03,examples/residence_images/vid_res_013_plant_on_table_frame_03.jpg,plant on table,find plant on table,find,plant,on table,plant on table,plant on table,plant,object,700.0,364.0,1211.0,823.0,ground_truth_boxes.csv,780.0,340.0,1410.0,870.0,0.86,plant on table,success,True,0.5337785332685769,True,strict_success,Green leafy plant on a small round table near the center-right; box includes draping vines.
GPT vision interpretation,gpt_vision,vid_res_014_package_by_the_chair_frame_01,examples/residence_images/vid_res_014_package_by_the_chair_frame_01.jpg,package beside chair,find package beside the chair,find,package,beside chair,package beside chair,package beside the chair,package,object,1243.0,460.0,1361.0,570.0,ground_truth_boxes.csv,1320.0,740.0,1425.0,810.0,0.86,package beside chair,success,True,0.0,False,poor,Small cardboard box with blue tape on the floor to the left of the tan chair.
GPT vision interpretation,gpt_vision,vid_res_014_package_by_the_chair_frame_02,examples/residence_images/vid_res_014_package_by_the_chair_frame_02.jpg,package beside chair,find package beside the chair,find,package,beside chair,package beside chair,package beside the chair,package,object,1285.0,443.0,1403.0,551.0,ground_truth_boxes.csv,1270.0,660.0,1430.0,780.0,0.86,package beside chair,success,True,0.0,False,poor,Small cardboard package with blue tape on the floor next to the chair on the right.
GPT vision interpretation,gpt_vision,vid_res_014_package_by_the_chair_frame_03,examples/residence_images/vid_res_014_package_by_the_chair_frame_03.jpg,package beside chair,find package beside the chair,find,package,beside chair,package beside chair,package beside the chair,package,object,1179.0,485.0,1303.0,606.0,ground_truth_boxes.csv,1200.0,720.0,1365.0,840.0,0.78,package beside chair,success,True,0.0,False,poor,Small cardboard package on the floor to the left of the beige chair near the wall.
GPT vision interpretation,gpt_vision,vid_res_015_package_on_the_chair_frame_01,examples/residence_images/vid_res_015_package_on_the_chair_frame_01.jpg,package on chair,find package on the chair,find,package,on chair,package on chair,package on the chair,package,object,944.0,340.0,1181.0,486.0,ground_truth_boxes.csv,940.0,420.0,1260.0,560.0,0.78,package on chair,success,True,0.2453262233375157,False,weak_overlap,Small cardboard box sitting on the seat of the beige chair.
GPT vision interpretation,gpt_vision,vid_res_015_package_on_the_chair_frame_02,examples/residence_images/vid_res_015_package_on_the_chair_frame_02.jpg,package on chair,find package on the chair,find,package,on chair,package on chair,package on the chair,package,object,961.0,329.0,1195.0,462.0,ground_truth_boxes.csv,1000.0,400.0,1420.0,580.0,0.82,package on chair,success,True,0.1277580522444839,False,weak_overlap,Brown cardboard package on the seat of the beige chair.
GPT vision interpretation,gpt_vision,vid_res_015_package_on_the_chair_frame_03,examples/residence_images/vid_res_015_package_on_the_chair_frame_03.jpg,package on chair,find package on the chair,find,package,on chair,package on chair,package on the chair,package,object,992.0,336.0,1247.0,483.0,ground_truth_boxes.csv,1020.0,410.0,1290.0,540.0,0.88,package on chair,success,True,0.2958367550969401,True,success,Small cardboard box resting on the seat of the tan armchair; other packages are on the floor.
GPT vision interpretation,gpt_vision,vid_res_016_packages_on_floor_frame_01,examples/residence_images/vid_res_016_packages_on_floor_frame_01.jpg,package on floor,find packages on floor,find,package,on floor,package on floor,packages on floor,package,object,616.0,562.0,1180.0,1025.0,ground_truth_boxes.csv,730.0,760.0,1150.0,1030.0,0.86,package on floor,success,True,0.42282093362509116,True,success,Selected the prominent Amazon box on the floor in front of the chair; one of multiple packages on the floor.
GPT vision interpretation,gpt_vision,vid_res_016_packages_on_floor_frame_02,examples/residence_images/vid_res_016_packages_on_floor_frame_02.jpg,package on floor,find packages on floor,find,package,on floor,package on floor,packages on floor,package,object,665.0,531.0,1193.0,992.0,ground_truth_boxes.csv,690.0,790.0,980.0,1035.0,0.82,package on floor,success,True,0.22893722789767,False,weak_overlap,One of multiple packages on the floor; this box is the prominent orange-taped package in the lower-left/center area.
GPT vision interpretation,gpt_vision,vid_res_016_packages_on_floor_frame_03,examples/residence_images/vid_res_016_packages_on_floor_frame_03.jpg,package on floor,find packages on floor,find,package,on floor,package on floor,packages on floor,package,object,702.0,548.0,1220.0,1036.0,ground_truth_boxes.csv,730.0,770.0,1110.0,1015.0,0.86,package on floor,success,True,0.3682986264953478,True,success,Box with orange tape in the lower center-left; one of multiple packages on the floor.
GPT vision interpretation,gpt_vision,vid_res_017_package_not_red_box_frame_01,examples/residence_images/vid_res_017_package_not_red_box_frame_01.jpg,package not red,find package not red,find,package,not red,package not red,package not red,package,object,855.0,693.0,1041.0,868.0,ground_truth_boxes.csv,980.0,690.0,1170.0,900.0,0.82,package not red,success,True,0.17280453257790368,False,weak_overlap,Selected the brown cardboard package to the right of the red/orange box.
GPT vision interpretation,gpt_vision,vid_res_017_package_not_red_box_frame_02,examples/residence_images/vid_res_017_package_not_red_box_frame_02.jpg,package not red,find package not red,find,package,not red,package not red,package not red,package,object,895.0,563.0,1052.0,707.0,ground_truth_boxes.csv,980.0,605.0,1155.0,735.0,0.84,package not red,success,True,0.19319198190140474,False,weak_overlap,Beige/khaki package with yellow tape to the right of the red box near the door.
GPT vision interpretation,gpt_vision,vid_res_017_package_not_red_box_frame_03,examples/residence_images/vid_res_017_package_not_red_box_frame_03.jpg,package not red,find package not red,find,package,not red,package not red,package not red,package,object,972.0,442.0,1146.0,603.0,ground_truth_boxes.csv,1045.0,540.0,1210.0,710.0,0.83,package not red,success,True,0.12802559304641759,False,weak_overlap,Tan/gray package with yellow tape to the right of the red box near the door.
GPT vision interpretation,gpt_vision,vid_res_018_package_hidden_by_chair_frame_01,examples/residence_images/vid_res_018_package_hidden_by_chair_frame_01.jpg,package by chair,find package partially covered by chair,find,package,by chair,package by chair,package partially covered by chair,package,object,975.0,604.0,1088.0,801.0,ground_truth_boxes.csv,1080.0,820.0,1470.0,1005.0,0.72,package by chair,success,True,0.0,False,poor,"Cardboard box on the floor under the table, right side, partially occluded by the beige armchair."
GPT vision interpretation,gpt_vision,vid_res_018_package_hidden_by_chair_frame_02,examples/residence_images/vid_res_018_package_hidden_by_chair_frame_02.jpg,package by chair,find package partially covered by chair,find,package,by chair,package by chair,package partially covered by chair,package,object,917.0,566.0,1045.0,762.0,ground_truth_boxes.csv,1140.0,780.0,1385.0,1005.0,0.74,package by chair,success,True,0.0,False,poor,"Box under the coffee table closest to the right beige armchair, partially occluded by the chair."
GPT vision interpretation,gpt_vision,vid_res_018_package_hidden_by_chair_frame_03,examples/residence_images/vid_res_018_package_hidden_by_chair_frame_03.jpg,package by chair,find package partially covered by chair,find,package,by chair,package by chair,package partially covered by chair,package,object,891.0,562.0,1037.0,761.0,ground_truth_boxes.csv,860.0,800.0,1030.0,1020.0,0.62,package partially covered by chair,success,True,0.0,False,poor,"Cardboard package with blue tape on the floor under the table, partially occluded by the left tan chair/sofa arm."
GPT vision interpretation,gpt_vision,vid_res_019_package_on_chair_frame_01,examples/residence_images/vid_res_019_package_on_chair_frame_01.jpg,package on chair,find package on chair,find,package,on chair,package on chair,package on chair,package,object,942.0,350.0,1176.0,479.0,ground_truth_boxes.csv,990.0,430.0,1250.0,540.0,0.86,package on chair,success,True,0.1834836527621195,False,weak_overlap,Cardboard package resting on the seat of the beige chair.
GPT vision interpretation,gpt_vision,vid_res_019_package_on_chair_frame_02,examples/residence_images/vid_res_019_package_on_chair_frame_02.jpg,package on chair,find package on chair,find,package,on chair,package on chair,package on chair,package,object,963.0,330.0,1194.0,461.0,ground_truth_boxes.csv,900.0,410.0,1200.0,520.0,0.86,package on chair,success,True,0.22884615384615384,False,weak_overlap,Small cardboard box resting on the seat of the tan chair.
GPT vision interpretation,gpt_vision,vid_res_019_package_on_chair_frame_03,examples/residence_images/vid_res_019_package_on_chair_frame_03.jpg,package on chair,find package on chair,find,package,on chair,package on chair,package on chair,package,object,999.0,336.0,1232.0,482.0,ground_truth_boxes.csv,1090.0,480.0,1330.0,610.0,0.86,package on chair,success,True,0.004373671728216343,False,poor,Small cardboard package resting on the seat of the tan chair; other packages are on the floor.
GPT vision interpretation,gpt_vision,vid_res_020_package_on_table_frame_01,examples/residence_images/vid_res_020_package_on_table_frame_01.jpg,package on table,find package on table,find,package,on table,package on table,package on table,package,object,748.0,41.0,1036.0,206.0,ground_truth_boxes.csv,900.0,130.0,1265.0,300.0,0.82,package on table,success,True,0.10415784912429207,False,weak_overlap,Brown package on the round table near the center-right.
GPT vision interpretation,gpt_vision,vid_res_020_package_on_table_frame_02,examples/residence_images/vid_res_020_package_on_table_frame_02.jpg,package on table,find package on table,find,package,on table,package on table,package on table,package,object,703.0,57.0,985.0,217.0,ground_truth_boxes.csv,820.0,190.0,1260.0,360.0,0.84,package on table,success,True,0.03858312042610315,False,poor,Brown cardboard box on the round tabletop near the center-right.
GPT vision interpretation,gpt_vision,vid_res_020_package_on_table_frame_03,examples/residence_images/vid_res_020_package_on_table_frame_03.jpg,package on table,find package on table,find,package,on table,package on table,package on table,package,object,758.0,26.0,1055.0,195.0,ground_truth_boxes.csv,740.0,200.0,1030.0,360.0,0.82,package on table,success,True,0.0,False,poor,Cardboard box on the round tabletop near the center-left; not the boxes on the chair or floor.
GPT vision interpretation,gpt_vision,vid_res_021_package_on_chair_frame_01,examples/residence_images/vid_res_021_package_on_chair_frame_01.jpg,package on chair,find package on chair,find,package,on chair,package on chair,package on chair,package,object,572.0,327.0,796.0,511.0,ground_truth_boxes.csv,590.0,450.0,810.0,610.0,0.84,package on chair,success,True,0.19680501174628034,False,weak_overlap,Brown package on the left chair's seat.
GPT vision interpretation,gpt_vision,vid_res_021_package_on_chair_frame_02,examples/residence_images/vid_res_021_package_on_chair_frame_02.jpg,package on chair,find package on chair,find,package,on chair,package on chair,package on chair,package,object,554.0,330.0,780.0,501.0,ground_truth_boxes.csv,620.0,410.0,840.0,545.0,0.86,package on chair,success,True,0.270702413267393,True,success,Box sitting on the left chair’s seat.
GPT vision interpretation,gpt_vision,vid_res_021_package_on_chair_frame_03,examples/residence_images/vid_res_021_package_on_chair_frame_03.jpg,package on chair,find package on chair,find,package,on chair,package on chair,package on chair,package,object,561.0,311.0,760.0,488.0,ground_truth_boxes.csv,560.0,440.0,740.0,600.0,0.82,package on chair,success,True,0.1550035178871029,False,weak_overlap,Box on the left chair seat; other packages are on the table and floor.
GPT vision interpretation,gpt_vision,vid_res_022_package_on_floor_frame_01,examples/residence_images/vid_res_022_package_on_floor_frame_01.jpg,package on floor,find package on floor,find,package,on floor,package on floor,package on floor,package,object,970.0,882.0,1197.0,1055.0,ground_truth_boxes.csv,1160.0,860.0,1420.0,1035.0,0.86,package on floor,success,True,0.07155858930602958,False,poor,Package on the carpeted floor near the bottom-right of the scene.
GPT vision interpretation,gpt_vision,vid_res_022_package_on_floor_frame_02,examples/residence_images/vid_res_022_package_on_floor_frame_02.jpg,package on floor,find package on floor,find,package,on floor,package on floor,package on floor,package,object,934.0,814.0,1173.0,985.0,ground_truth_boxes.csv,980.0,810.0,1240.0,960.0,0.87,package on floor,success,True,0.5451239093846124,True,strict_success,Cardboard package on the floor near the bottom-right area of the image.
GPT vision interpretation,gpt_vision,vid_res_022_package_on_floor_frame_03,examples/residence_images/vid_res_022_package_on_floor_frame_03.jpg,package on floor,find package on floor,find,package,on floor,package on floor,package on floor,package,object,926.0,894.0,1165.0,1077.0,ground_truth_boxes.csv,1055.0,872.0,1335.0,1034.0,0.9,package on floor,success,True,0.20896372986688738,False,weak_overlap,Cardboard package on the floor near the bottom center-right of the image.
GPT vision interpretation,gpt_vision,vid_res_023_package_infront_of_the_books_frame_01,examples/residence_images/vid_res_023_package_infront_of_the_books_frame_01.jpg,package infront of books,find package infront of the books,find,package,infront of books,package infront of books,package infront of the books,package,object,252.0,482.0,716.0,787.0,ground_truth_boxes.csv,640.0,560.0,860.0,730.0,0.72,package infront of books,success,True,0.07783132530120482,False,poor,Small shipping box with blue label directly in front of the stack of books.
GPT vision interpretation,gpt_vision,vid_res_023_package_infront_of_the_books_frame_02,examples/residence_images/vid_res_023_package_infront_of_the_books_frame_02.jpg,package infront of books,find package infront of the books,find,package,infront of books,package infront of books,package infront of the books,package,object,241.0,485.0,729.0,816.0,ground_truth_boxes.csv,670.0,620.0,860.0,770.0,0.72,package infront of books,success,True,0.04884699025267968,False,poor,Small shipping box with blue tape directly in front of the box containing books.
