image_id,decision,left_shift,top_shift,right_shift,bottom_shift,confidence,reason,adjustment_applied,adjustment_gate,pre_x_min,pre_y_min,pre_x_max,pre_y_max,final_x_min,final_y_min,final_x_max,final_y_max
vid_res_005_under_the_painting_frame_03,uncertain,0.0,0.0,0.0,0.0,0.34,Most of the box and target boundaries are not visible in this narrow crop; cannot reliably judge tightness.,False,not_applied,994.0,791.0,1258.0,822.0,994.0,791.0,1258.0,822.0
vid_res_006_man_by_the_elevator_green_shirt_frame_01,adjust,0.05,0.05,-0.03,-0.02,0.82,Slight extra background on all sides; small inward shifts will tightly contain the man without clipping.,True,applied,827.0,134.0,1109.0,1078.0,841.1,181.2,1100.54,1059.12
vid_res_006_man_by_the_elevator_green_shirt_frame_02,adjust,0.03,0.03,-0.02,-0.02,0.76,Box includes small extra background on all sides; slight tightening improves fit around the man in the green shirt.,True,applied,829.0,129.0,1116.0,1078.0,837.61,157.47,1110.26,1059.02
vid_res_006_man_by_the_elevator_green_shirt_frame_03,adjust,0.05,0.03,0.0,0.0,0.82,Box is slightly loose on the left and top; small inward adjustments will better tighten around the person.,True,applied,827.0,134.0,1109.0,1078.0,841.1,162.32,1109.0,1078.0
vid_res_007_man_standing_by_table_frame_01,adjust,0.04,0.05,-0.02,-0.03,0.77,Box includes the correct man but has small extra margins on all sides; tighten slightly for a snug fit.,True,applied,708.75,193.25,941.75,910.25,718.07,229.1,937.09,888.74
vid_res_007_man_standing_by_table_frame_02,adjust,0.0,0.0,-0.03,-0.02,0.77,Box includes the man but leaves slight extra space on the right and below near the shoes; small tighten recommended.,True,applied,706.5,192.0,940.5,987.0,706.5,192.0,933.48,971.1
vid_res_007_man_standing_by_table_frame_03,accept,0.0,0.0,0.0,0.0,0.9,Box tightly contains the man from head to shoes with minimal background on all sides; no limbs or items cut off.,False,not_applied,704.5,192.75,944.5,977.75,704.5,192.75,944.5,977.75
vid_res_008_man_standing_by_water_dispenser_frame_01,adjust,0.03,0.02,-0.04,-0.02,0.74,"Box is slightly loose on all sides, especially left and right; small inward shifts will tighten around the person without cutting off extremities.",True,applied,1013.25,279.0,1185.25,673.0,1018.41,286.88,1178.37,665.12
vid_res_008_man_standing_by_water_dispenser_frame_02,adjust,0.03,0.02,-0.02,-0.03,0.76,Box includes extra margins on the left and bottom and a bit above the head; small tighten on all sides keeps the person fully contained.,True,applied,1092.0,248.25,1269.0,661.25,1097.31,256.51,1265.46,648.86
vid_res_008_man_standing_by_water_dispenser_frame_03,adjust,0.04,0.0,-0.04,-0.02,0.78,"Box is slightly loose on left, right, and bottom; small inward tweaks will better hug the person without cropping.",True,applied,1100.75,240.0,1282.75,658.0,1108.03,240.0,1275.47,649.64
vid_res_009_door_on_the_right_frame_01,adjust,0.03,0.0,-0.02,-0.02,0.78,"Box slightly includes door frame on left, a sliver of wall on right, and a bit of floor at bottom; small trims tighten around the door panel.",True,applied,1286.0,6.0,1424.0,1023.0,1290.14,6.0,1421.24,1002.66
vid_res_009_door_on_the_right_frame_02,adjust,-0.08,0.0,-0.03,0.0,0.73,Box misses part of the door handle on the left and includes a thin strip of wall on the right; small boundary tweaks tighten around the door.,True,applied,1292.5,8.0,1448.5,1041.0,1280.02,8.0,1443.82,1041.0
vid_res_009_door_on_the_right_frame_03,adjust,0.01,0.0,-0.04,0.0,0.72,Box slightly includes background on the right and a small margin on the left; minor trims make it tighter around the door while keeping the handle.,True,applied,1257.75,4.0,1421.75,1030.0,1259.39,4.0,1415.19,1030.0
vid_res_010_door_at_end_of_hallway_frame_01,adjust,0.02,0.02,-0.02,-0.03,0.8,Box includes small extra wall and floor; slight inward shifts will better align to the door/frame without cropping it.,True,applied,706.25,38.0,1065.25,784.0,713.43,52.92,1058.07,761.62
vid_res_010_door_at_end_of_hallway_frame_02,adjust,0.0,0.0,-0.05,-0.03,0.73,Box slightly includes wall on the right and some floor at the bottom; other edges are tight to the door.,True,applied,663.25,3.0,1042.25,787.0,663.25,3.0,1023.3,763.48
vid_res_010_door_at_end_of_hallway_frame_03,adjust,0.03,0.0,-0.02,-0.03,0.78,Box slightly includes wall on both sides and extra floor at bottom; small tighten improves fit to the door.,True,applied,615.75,0.0,1000.75,786.0,627.3,0.0,993.05,762.42
vid_res_011_door_with_sign_frame_01,uncertain,0.0,0.0,0.0,0.0,0.58,The selected box crops through the door on all sides and does not approach the full door boundaries; making it tight would require shifts greater than the allowed ±10%.,False,not_applied,350.0,0.0,588.0,187.0,350.0,0.0,588.0,187.0
vid_res_011_door_with_sign_frame_02,adjust,-0.06,0.0,0.03,0.0,0.7,Slight horizontal expansion to align with the door’s left and right edges; vertical bounds are limited by the crop and are acceptable.,True,applied,343.5,0.0,579.5,187.0,329.34,0.0,586.58,187.0
vid_res_011_door_with_sign_frame_03,adjust,-0.06,-0.04,0.05,0.04,0.63,"Box covers the door with the sign but is a bit tight on the left, right, and top edges; slight outward expansion on all sides will better enclose the target.",False,not_applied,336.0,0.0,574.0,190.0,336.0,0.0,574.0,190.0
vid_res_012_elevator_call_button_frame_01,uncertain,0.0,0.0,0.0,0.0,0.2,"Only a small portion of the cyan box edge is visible and the elevator call button is not clearly seen, so tightness cannot be reliably judged.",False,not_applied,1056.75,404.0,1078.75,433.0,1056.75,404.0,1078.75,433.0
vid_res_012_elevator_call_button_frame_02,uncertain,0.0,0.0,0.0,0.0,0.35,"The crop is too small and the cyan overlay obscures object boundaries, making it difficult to judge whether the box tightly contains the elevator call button.",False,not_applied,1056.25,408.0,1080.25,442.0,1056.25,408.0,1080.25,442.0
vid_res_012_elevator_call_button_frame_03,adjust,0.06,0.06,-0.06,-0.06,0.73,Box includes noticeable background on all sides; small inward adjustment will tightly frame the target.,True,applied,1591.0,144.0,1631.0,199.0,1593.4,147.3,1628.6,195.7
vid_res_013_plant_on_table_frame_01,adjust,0.02,0.02,-0.02,-0.08,0.79,"The box covers the plant but leaves extra space, especially below and slight margins on the sides; small tightening improves containment.",True,applied,763.0,362.5,1165.0,826.5,771.04,371.78,1156.96,789.38
vid_res_013_plant_on_table_frame_02,adjust,-0.01,0.02,-0.03,-0.04,0.78,"Box is slightly loose, especially on the right and bottom; minor tightening while keeping all plant leaves inside.",True,applied,770.75,366.0,1107.75,672.0,767.38,372.12,1097.64,659.76
vid_res_013_plant_on_table_frame_03,adjust,0.02,0.03,0.0,-0.06,0.75,"Box includes some extra space, mainly below where non-target elements appear; slight trims on left/top and raising the bottom edge will more tightly contain the plant.",True,applied,770.75,366.0,1107.75,672.0,777.49,375.18,1107.75,653.64
vid_res_014_package_by_the_chair_frame_01,adjust,0.03,0.06,-0.01,-0.05,0.69,Box extends slightly beyond the target on top and bottom and a bit on the left; small inward trims on all sides will tighten around the package.,False,not_applied,1252.0,480.5,1346.0,552.5,1252.0,480.5,1346.0,552.5
vid_res_014_package_by_the_chair_frame_02,uncertain,0.0,0.0,0.0,0.0,0.15,"The crop only shows a UI banner and no visible cyan box or package, so the boundaries cannot be judged.",False,not_applied,1293.0,515.0,1387.0,543.0,1293.0,515.0,1387.0,543.0
vid_res_014_package_by_the_chair_frame_03,adjust,0.06,0.03,-0.03,-0.04,0.76,Box includes some surrounding floor and space; tightening left and top/bottom slightly and bringing right edge a bit left will better hug the package.,True,applied,1197.0,504.25,1287.0,585.25,1202.4,506.68,1284.3,582.01
vid_res_015_package_on_the_chair_frame_01,accept,0.0,0.0,0.0,0.0,0.86,The cyan box closely encloses the package on the chair with only minimal background and no cutoff; no adjustment needed.,False,not_applied,955.75,360.25,1161.75,469.25,955.75,360.25,1161.75,469.25
vid_res_015_package_on_the_chair_frame_02,adjust,0.05,0.03,-0.05,-0.03,0.83,Box includes extra cushion space on all sides; small inward tweaks make it tighter around the package.,True,applied,978.5,343.0,1181.5,447.0,988.65,346.12,1171.35,443.88
vid_res_015_package_on_the_chair_frame_03,adjust,0.04,0.05,-0.05,-0.03,0.79,Box is correct target but current bounds include small cushion gaps on all sides; minor inward tightening improves fit.,True,applied,1016.0,348.5,1226.0,467.5,1024.4,354.45,1215.5,463.93
vid_res_016_packages_on_floor_frame_01,adjust,0.03,0.02,-0.02,-0.04,0.78,"The box is slightly loose on the left and right, has extra space above, and extends below onto another package; small inward tightening needed.",True,applied,933.5,725.5,1154.5,861.5,940.13,728.22,1150.08,856.06
vid_res_016_packages_on_floor_frame_02,adjust,0.05,0.03,-0.04,-0.04,0.79,Box is slightly loose on all sides; minor tighten to remove extra floor/background.,True,applied,705.0,721.25,987.0,967.25,719.1,728.63,975.72,957.41
vid_res_016_packages_on_floor_frame_03,adjust,0.04,0.04,-0.03,-0.03,0.76,Box slightly loose on all sides; small inward tweaks will tightly contain the package.,True,applied,742.25,752.75,1030.25,1020.75,753.77,763.47,1021.61,1012.71
vid_res_017_package_not_red_box_frame_01,adjust,0.01,0.02,-0.03,-0.04,0.74,"Box is slightly loose on the right and bottom, with a bit of extra space on the top; minor tightening on all sides will better hug the package.",True,applied,869.25,703.5,1020.25,860.5,870.76,706.64,1015.72,854.22
vid_res_017_package_not_red_box_frame_02,adjust,0.04,0.04,-0.03,-0.06,0.73,Box includes small extra background on all sides; tighten slightly to the package edges.,True,applied,905.0,578.0,1033.0,688.0,910.12,582.4,1029.16,681.4
vid_res_017_package_not_red_box_frame_03,adjust,0.02,0.03,-0.05,-0.02,0.78,"Box includes small background margins on all sides, especially right; minor inward tweaks will tightly fit the package.",True,applied,976.75,460.5,1131.75,587.5,979.85,464.31,1124.0,584.96
vid_res_018_package_hidden_by_chair_frame_01,adjust,-0.04,0.02,-0.05,-0.02,0.64,"Box includes some background on the right and bottom, and the left edge slightly cuts into the package near the chair occlusion. Minor tightening on all sides improves fit.",False,not_applied,1018.25,625.75,1074.25,772.75,1018.25,625.75,1074.25,772.75
vid_res_018_package_hidden_by_chair_frame_02,adjust,-0.04,0.0,-0.03,-0.02,0.76,Left edge trims the package slightly; right and bottom include a bit of background/adjacent box. Top is fine.,True,applied,969.0,588.75,1033.0,744.75,966.44,588.75,1031.08,741.63
vid_res_018_package_hidden_by_chair_frame_03,accept,0.0,0.0,0.0,0.0,0.86,"The box closely hugs the package on all sides; right edge aligns with the occluding chair, and top/bottom/left edges are tight with minimal background.",False,not_applied,1111.0,563.25,1267.0,717.25,1111.0,563.25,1267.0,717.25
vid_res_019_package_on_chair_frame_01,adjust,0.03,0.03,-0.03,-0.03,0.82,Box is slightly loose with small margins on all sides; minor inward adjustments will tightly contain the package.,True,applied,955.75,360.25,1161.75,469.25,961.93,363.52,1155.57,465.98
vid_res_019_package_on_chair_frame_02,adjust,0.03,0.03,-0.03,-0.04,0.78,"Box is slightly loose on all sides, including extra chair background; minor tightening needed.",True,applied,978.5,343.0,1181.5,447.0,984.59,346.12,1175.41,442.84
vid_res_019_package_on_chair_frame_03,adjust,0.05,0.03,-0.04,-0.02,0.78,Box is correctly targeted but the bounds include small cushion margins on all sides; slight inward adjustments will tighten the fit.,True,applied,1016.0,348.5,1226.0,467.5,1026.5,352.07,1217.6,465.12
vid_res_020_package_on_table_frame_01,adjust,0.02,0.02,-0.03,-0.03,0.86,"Box is correctly targeted but the crop leaves small margins on top, right, and bottom; slight inward trims (and a tiny left edge tighten) will better hug the package.",True,applied,765.25,54.5,1027.25,194.5,770.49,57.3,1019.39,190.3
vid_res_020_package_on_table_frame_02,adjust,0.01,0.02,-0.03,-0.05,0.74,"Box is slightly loose—extra space on right and bottom, small headroom on top; minor tighten on left.",True,applied,723.75,77.25,964.75,203.25,726.16,79.77,957.52,196.95
vid_res_020_package_on_table_frame_03,adjust,0.02,0.02,-0.06,-0.06,0.78,The selected box is correct but slightly loose—extra space on the right and bottom (table area) and a small gap on the top/left. Minor inward adjustments will tightly contain the package.,True,applied,785.5,42.5,1034.5,183.5,790.48,45.32,1019.56,175.04
vid_res_021_package_on_chair_frame_02,adjust,0.03,0.03,-0.04,-0.04,0.82,Box includes small extra background on all sides; minor tightening improves fit around the package.,True,applied,580.25,341.5,763.25,487.5,585.74,345.88,755.93,481.66
vid_res_021_package_on_chair_frame_03,adjust,0.02,0.02,-0.05,-0.04,0.78,"Box includes small background on right and bottom, with minor slack on left and top; slight inward trims make it tighter around the package.",True,applied,590.0,322.0,740.0,477.0,593.0,325.1,732.5,470.8
vid_res_022_package_on_floor_frame_01,adjust,0.03,0.05,-0.04,-0.03,0.77,Box includes small margins of floor/background on all sides; slight inward adjustments will tightly bound the package.,True,applied,984.75,892.5,1187.75,1048.5,990.84,900.3,1179.63,1043.82
vid_res_022_package_on_floor_frame_02,adjust,0.03,0.03,-0.04,-0.04,0.78,Box slightly loose on all sides; small inward tweaks will tightly contain the package.,True,applied,962.75,838.0,1143.75,967.0,968.18,841.87,1136.51,961.84
vid_res_022_package_on_floor_frame_03,adjust,0.03,0.02,-0.03,-0.03,0.78,Box includes small margins of floor on all sides; slight inward tweaks will tightly fit the package.,True,applied,943.75,900.0,1152.75,1074.0,950.02,903.48,1146.48,1068.78
vid_res_023_package_infront_of_the_books_frame_01,adjust,0.04,0.02,-0.03,-0.02,0.78,"Box is correct target; minor extra background on all sides, especially left and right. Small inward adjustments will tighten around the package.",True,applied,457.5,492.5,706.5,688.5,467.46,496.42,699.03,684.58
vid_res_023_package_infront_of_the_books_frame_02,adjust,0.05,0.02,-0.02,-0.03,0.73,Box slightly loose; includes sliver of adjacent package on left and extra background on top/right/bottom. Small tighten on all sides.,True,applied,451.5,506.5,707.5,706.5,464.3,510.5,702.38,700.5
vid_res_023_package_infront_of_the_books_frame_03,adjust,0.05,0.03,-0.03,-0.02,0.76,Box slightly loose on all sides; small inward shifts will snugly fit the package.,True,applied,438.5,504.5,704.5,712.5,451.8,510.74,696.52,708.34
vid_res_024_package_between_books_and_shoes_frame_01,adjust,-0.03,0.0,-0.04,-0.02,0.7,"Box slightly includes background on right and bottom, and clips a sliver on the left; small tweaks tighten around the package.",True,applied,963.0,537.75,1182.0,695.75,956.43,537.75,1173.24,692.59
vid_res_024_package_between_books_and_shoes_frame_02,adjust,0.03,0.04,-0.04,-0.03,0.82,"Tighten box around the package; current box includes small margins on left, top, right, and bottom.",True,applied,966.5,429.75,1234.5,714.75,974.54,441.15,1223.78,706.2
vid_res_024_package_between_books_and_shoes_frame_03,adjust,0.04,0.03,-0.03,-0.04,0.83,Box is slightly loose on all sides; minor inward adjustments tighten to the package edges.,True,applied,975.0,422.75,1245.0,715.75,985.8,431.54,1236.9,704.03
vid_res_025_package_by_elevator_frame_01,adjust,0.04,0.01,-0.03,-0.04,0.76,"Slight extra background on left, right, and bottom; small trims will tightly bound the package.",True,applied,469.75,522.5,561.75,613.5,473.43,523.41,558.99,609.86
vid_res_025_package_by_elevator_frame_02,adjust,0.06,0.04,-0.06,-0.03,0.75,Box is slightly loose on all sides; minor inward adjustments will better align with the package edges.,True,applied,558.75,617.25,642.75,700.25,563.79,620.57,637.71,697.76
vid_res_025_package_by_elevator_frame_03,adjust,0.06,0.0,-0.05,-0.04,0.74,"Box is correct but current bounds include extra background on left, right, and bottom; small tightening needed.",True,applied,550.75,614.0,635.75,695.0,555.85,614.0,631.5,691.76
vid_res_026_package_by_wall_frame_01,adjust,0.05,0.02,-0.03,-0.07,0.74,Box covers the package(s) but includes extra background on left and especially bottom; slight inward tightening on all sides improves fit.,True,applied,1279.0,508.0,1436.0,630.0,1286.85,510.44,1431.29,621.46
vid_res_026_package_by_wall_frame_02,adjust,0.03,0.04,-0.06,-0.05,0.79,"Box is slightly loose on right, bottom, and top; minor trim on left for a tighter fit around the package.",True,applied,1309.5,614.0,1454.5,722.0,1313.85,618.32,1445.8,716.6
vid_res_026_package_by_wall_frame_03,adjust,0.02,0.02,-0.02,-0.06,0.78,"Current box is slightly loose on all sides, especially bottom; small inward shifts will tightly bound the package.",True,applied,1283.0,615.0,1436.0,722.0,1286.06,617.14,1432.94,715.58
vid_res_027_package_on_table_frame_01,adjust,0.02,0.05,-0.04,0.0,0.73,Box is slightly loose above and on the right; minor trim on the left. Bottom edge is acceptable given partial occlusion by chairs.,True,applied,738.25,304.5,1462.25,469.5,752.73,312.75,1433.29,469.5
vid_res_027_package_on_table_frame_02,adjust,0.03,0.03,-0.02,0.05,0.73,"Box slightly includes background on left, top, and right, and crops lower shelf; small shifts tighten around the table with packages on it.",True,applied,644.75,329.75,1393.75,491.75,667.22,334.61,1378.77,499.85
vid_res_027_package_on_table_frame_03,adjust,0.0,0.06,0.0,-0.05,0.68,The box includes extra background above the tabletop and below the shelf/legs area; horizontal edges look tight. Small vertical tightening improves fit around the table.,False,not_applied,650.0,337.5,1371.0,483.5,650.0,337.5,1371.0,483.5
vid_res_028_package_by_door_right_frame_01,adjust,0.01,0.03,-0.04,-0.05,0.73,"Package is correct; box has slight extra margins (top, right, bottom). Small inward tweaks tighten containment.",True,applied,630.0,770.75,793.0,880.75,631.63,774.05,786.48,875.25
vid_res_028_package_by_door_right_frame_02,adjust,0.04,0.03,-0.03,-0.04,0.77,Box includes small margins of floor/background on all sides; slight inward trim will tightly contain the package.,True,applied,643.75,795.25,803.75,903.25,650.15,798.49,798.95,898.93
vid_res_028_package_by_door_right_frame_03,adjust,-0.07,-0.08,0.06,0.08,0.68,Box crops into the package; small outward expansion on all sides will tightly include the full package.,False,not_applied,983.75,687.0,1087.75,767.0,983.75,687.0,1087.75,767.0
vid_res_029_package_by_door_left_frame_01,adjust,0.02,0.02,-0.03,-0.07,0.86,"Box is correctly selected but the current bounds leave extra background, especially on the bottom and right. Small inward adjustments will tighten around the package.",True,applied,808.5,636.25,938.5,740.25,811.1,638.33,934.6,732.97
vid_res_029_package_by_door_left_frame_02,adjust,0.03,0.02,-0.03,-0.05,0.82,"Box is correctly selected but the crop is a bit loose on all sides, especially the bottom; small inward shifts will tightly bound the package.",True,applied,787.5,651.75,906.5,744.75,791.07,653.61,902.93,740.1
vid_res_029_package_by_door_left_frame_03,adjust,0.04,0.03,-0.03,-0.05,0.78,Box is correctly selected but the frame is slightly loose on all sides; small inward adjustments will better hug the package.,True,applied,818.0,610.25,946.0,712.25,823.12,613.31,942.16,707.15
vid_res_030_second_closest_package_frame_01,adjust,0.0,0.02,-0.06,-0.05,0.68,Box slightly extends past the package on the right and includes a bit of the lower package; minor trim on right and bottom and a small top nudge tighten the fit.,False,not_applied,729.5,770.25,861.5,843.25,729.5,770.25,861.5,843.25
vid_res_030_second_closest_package_frame_02,adjust,0.04,0.02,-0.03,-0.02,0.72,Box is slightly loose on all sides; small inward tweaks make edges tighter without cutting the package.,True,applied,781.0,650.0,911.0,747.0,786.2,651.94,907.1,745.06
vid_res_030_second_closest_package_frame_03,adjust,0.05,0.05,-0.03,-0.05,0.79,Box includes small padding on all sides; tighten slightly for a snug fit.,True,applied,798.0,613.0,950.0,716.0,805.6,618.15,945.44,710.85
vid_res_031_package_in_front_frame_01,adjust,0.02,0.01,-0.03,-0.02,0.75,Box fits the package but has slight extra space on right and bottom; minor tightening on all sides improves fit.,True,applied,695.25,830.5,850.25,933.5,698.35,831.53,845.6,931.44
vid_res_031_package_in_front_frame_02,adjust,0.03,0.02,-0.02,-0.02,0.76,Box is correct but margins are slightly loose on all sides; small tighten to fit the package edges.,True,applied,787.5,651.75,906.5,744.75,791.07,653.61,904.12,742.89
vid_res_031_package_in_front_frame_03,adjust,0.02,0.01,-0.04,-0.03,0.78,"Box slightly loose, especially on right and bottom; small trims on all sides for a tighter fit.",True,applied,712.75,791.25,861.75,890.25,715.73,792.24,855.79,887.28
vid_res_032_packages_by_chair_frame_01,adjust,0.0,0.0,-0.04,-0.03,0.8,Box slightly loose on the right and bottom; small trims make it tighter around the chair. Left and top edges are already close.,True,applied,1081.5,287.75,1305.5,719.75,1081.5,287.75,1296.54,706.79
vid_res_032_packages_by_chair_frame_02,adjust,0.02,0.02,-0.02,-0.03,0.78,Box includes small background margins on all sides; slight inward adjustments will tightly contain the chair.,True,applied,1071.5,333.25,1287.5,746.25,1075.82,341.51,1283.18,733.86
vid_res_032_packages_by_chair_frame_03,adjust,0.03,0.04,-0.05,-0.04,0.73,"Box includes extra background on all sides, especially right and top; small inward trims will tightly frame the chair without cutting it off.",True,applied,1068.5,296.75,1293.5,725.75,1075.25,313.91,1282.25,708.59
vid_res_033_man_in_blue_frame_01,adjust,0.02,0.06,-0.03,-0.02,0.78,Box contains the man in blue but has small extra margins—especially above the head and on the right side. Minor tightening on all sides improves fit.,True,applied,1126.0,267.5,1241.0,958.5,1128.3,308.96,1237.55,944.68
vid_res_033_man_in_blue_frame_02,adjust,0.05,0.01,-0.03,-0.02,0.84,"Slightly loose on all sides; trim left to exclude adjacent person, right to remove background, and tighten small top/bottom margins.",True,applied,1177.0,270.5,1304.0,964.5,1183.35,277.44,1300.19,950.62
vid_res_033_man_in_blue_frame_03,adjust,0.04,0.0,-0.06,-0.05,0.74,"Person is fully inside but the box has extra space on the left, right, and below; small tightening improves fit.",True,applied,1534.75,366.5,1629.75,670.5,1538.55,366.5,1624.05,655.3
vid_res_034_man_in_grey_frame_01,adjust,0.03,0.03,-0.04,-0.03,0.78,Box includes small extra background on all sides; slight inward adjustments will snugly fit the man in grey.,True,applied,898.5,227.25,1161.5,1033.25,906.39,251.43,1150.98,1009.07
vid_res_034_man_in_grey_frame_02,adjust,0.03,0.02,-0.05,-0.04,0.77,"Box includes extra background, particularly on the right and bottom, and slight slack on left/top. Small inward adjustments will tightly contain the man in grey.",True,applied,996.75,240.5,1261.75,1050.5,1004.7,256.7,1248.5,1018.1
vid_res_034_man_in_grey_frame_03,adjust,0.02,0.01,-0.06,-0.02,0.82,"Box is slightly loose, especially on the right and bottom; small trims will better fit the man in grey without cutting off parts.",True,applied,1120.75,248.0,1395.75,1068.0,1126.25,256.2,1379.25,1051.6
vid_res_035_woman_white_top_frame_01,adjust,0.04,0.06,-0.03,-0.02,0.72,"Box includes small extra space, especially above the head and along the left where background/occluder is inside; minor tightening on all sides.",True,applied,58.0,282.5,201.0,858.5,63.72,317.06,196.71,846.98
vid_res_035_woman_white_top_frame_02,adjust,0.03,0.02,-0.08,-0.01,0.71,Box contains the person but has extra space on the right and slight margins on left/top; minor tightening improves fit.,True,applied,937.25,364.25,1016.25,597.25,939.62,368.91,1009.93,594.92
vid_res_035_woman_white_top_frame_03,adjust,0.05,0.0,-0.03,0.0,0.77,Box includes small extra background on left and right; top and bottom already tight around head and feet.,True,applied,330.0,319.75,465.0,867.75,336.75,319.75,460.95,867.75
vid_res_036_elevator_button_panel_frame_01,accept,0.0,0.0,0.0,0.0,0.86,Box tightly contains the entire elevator button panel with minimal extra background and no cutoff.,False,not_applied,865.0,189.0,1206.0,1032.0,865.0,189.0,1206.0,1032.0
vid_res_036_elevator_button_panel_frame_02,adjust,0.03,0.0,-0.02,-0.03,0.78,"Box slightly includes surrounding wall on left, right, and a bit below the panel; minor tightening keeps it snug to the elevator button panel.",True,applied,894.0,311.75,1040.0,867.75,898.38,311.75,1037.08,851.07
vid_res_036_elevator_button_panel_frame_03,adjust,0.06,0.02,-0.02,-0.02,0.78,Current box includes extra wall on the left and slight margins above and below the panel; small inward shifts will better hug the elevator button panel.,True,applied,989.25,101.25,1304.25,1043.25,1008.15,120.09,1297.95,1024.41
