image_id,image_path,status,failure_stage,selection_stage,refinement_source,relational_prompt,initial_candidate_count,refined_candidate_count,selected_label,owl_score,gpt_selection_confidence,relation_match,gpt_edge_decision,gpt_edge_confidence,adjustment_applied,adjustment_gate,pre_adjustment_x_min,pre_adjustment_y_min,pre_adjustment_x_max,pre_adjustment_y_max,pred_x_min,pred_y_min,pred_x_max,pred_y_max,gt_x_min,gt_y_min,gt_x_max,gt_y_max,iou,bbox_quality,notes
vid_res_005_under_the_painting_frame_02,examples/residence_images/vid_res_005_under_the_painting_frame_02.jpg,success,,gpt_selected_refined_candidate,gpt_coarse_region,True,1,1,wall under painting,0.013749470934271812,0.66,True,uncertain,0.32,False,not_applied,1063.0,682.0,1223.0,709.0,1063.0,682.0,1223.0,709.0,1072.0,483.0,1280.0,713.0,0.08479088243246054,poor,The crop is too limited and lacks clear context or box edges to judge whether it tightly contains the white wall under the painting.
vid_res_005_under_the_painting_frame_03,examples/residence_images/vid_res_005_under_the_painting_frame_03.jpg,success,,gpt_selected_refined_candidate,gpt_coarse_region,True,1,1,wall under painting,0.0117691271007061,0.72,True,uncertain,0.34,False,not_applied,994.0,791.0,1258.0,822.0,994.0,791.0,1258.0,822.0,1005.0,544.0,1251.0,826.0,0.10905190905190905,weak_overlap,Most of the box and target boundaries are not visible in this narrow crop; cannot reliably judge tightness.
vid_res_006_man_by_the_elevator_green_shirt_frame_01,examples/residence_images/vid_res_006_man_by_the_elevator_green_shirt_frame_01.jpg,success,,gpt_selected_refined_candidate,gpt_selected_initial_candidate,True,1,1,person,0.07302746176719666,0.9,True,adjust,0.82,True,applied,827.0,134.0,1109.0,1078.0,841.1,181.2,1100.54,1059.12,806.0,138.0,1123.0,1073.0,0.7684595381163647,strict_success,Slight extra background on all sides; small inward shifts will tightly contain the man without clipping.
vid_res_006_man_by_the_elevator_green_shirt_frame_02,examples/residence_images/vid_res_006_man_by_the_elevator_green_shirt_frame_02.jpg,success,,gpt_selected_refined_candidate,gpt_selected_initial_candidate,True,1,1,person,0.07005579769611359,0.86,True,adjust,0.76,True,applied,829.0,129.0,1116.0,1078.0,837.61,157.47,1110.26,1059.02,812.0,130.0,1137.0,1077.0,0.7986600844772965,strict_success,Box includes small extra background on all sides; slight tightening improves fit around the man in the green shirt.
vid_res_006_man_by_the_elevator_green_shirt_frame_03,examples/residence_images/vid_res_006_man_by_the_elevator_green_shirt_frame_03.jpg,success,,gpt_selected_refined_candidate,gpt_selected_initial_candidate,True,1,1,person,0.07302746176719666,0.86,True,adjust,0.82,True,applied,827.0,134.0,1109.0,1078.0,841.1,162.32,1109.0,1078.0,798.0,132.0,1139.0,1073.0,0.7571559599715102,strict_success,Box is slightly loose on the left and top; small inward adjustments will better tighten around the person.
vid_res_007_man_standing_by_table_frame_01,examples/residence_images/vid_res_007_man_standing_by_table_frame_01.jpg,success,,gpt_selected_refined_candidate,gpt_selected_initial_candidate,False,1,1,person,0.09234149754047394,0.78,True,adjust,0.77,True,applied,708.75,193.25,941.75,910.25,718.07,229.1,937.09,888.74,686.0,186.0,963.0,920.0,0.7105831888962119,strict_success,Box includes the correct man but has small extra margins on all sides; tighten slightly for a snug fit.
vid_res_007_man_standing_by_table_frame_02,examples/residence_images/vid_res_007_man_standing_by_table_frame_02.jpg,success,,gpt_selected_refined_candidate,gpt_selected_initial_candidate,False,1,1,person,0.09460324048995972,0.78,True,adjust,0.77,True,applied,706.5,192.0,940.5,987.0,706.5,192.0,933.48,971.1,672.0,179.0,971.0,999.0,0.7212664899257689,strict_success,Box includes the man but leaves slight extra space on the right and below near the shoes; small tighten recommended.
vid_res_007_man_standing_by_table_frame_03,examples/residence_images/vid_res_007_man_standing_by_table_frame_03.jpg,success,,gpt_selected_refined_candidate,gpt_selected_initial_candidate,False,1,1,person,0.09031558036804199,0.78,True,accept,0.9,False,not_applied,704.5,192.75,944.5,977.75,704.5,192.75,944.5,977.75,670.0,181.0,963.0,993.0,0.791876124346408,strict_success,Box tightly contains the man from head to shoes with minimal background on all sides; no limbs or items cut off.
vid_res_008_man_standing_by_water_dispenser_frame_01,examples/residence_images/vid_res_008_man_standing_by_water_dispenser_frame_01.jpg,success,,gpt_selected_refined_candidate,gpt_selected_initial_candidate,False,4,4,person,0.16192592680454254,0.84,True,adjust,0.74,True,applied,1013.25,279.0,1185.25,673.0,1018.41,286.88,1178.37,665.12,976.0,272.0,1203.0,693.0,0.6330979354798202,strict_success,"Box is slightly loose on all sides, especially left and right; small inward shifts will tighten around the person without cutting off extremities."
vid_res_008_man_standing_by_water_dispenser_frame_02,examples/residence_images/vid_res_008_man_standing_by_water_dispenser_frame_02.jpg,success,,gpt_selected_refined_candidate,gpt_selected_initial_candidate,False,4,3,person,0.13093021512031555,0.86,True,adjust,0.76,True,applied,1092.0,248.25,1269.0,661.25,1097.31,256.51,1265.46,648.86,1074.0,238.0,1283.0,665.0,0.7392585692995535,strict_success,Box includes extra margins on the left and bottom and a bit above the head; small tighten on all sides keeps the person fully contained.
vid_res_008_man_standing_by_water_dispenser_frame_03,examples/residence_images/vid_res_008_man_standing_by_water_dispenser_frame_03.jpg,success,,gpt_selected_refined_candidate,gpt_selected_initial_candidate,False,4,3,person,0.13144230842590332,0.82,True,adjust,0.78,True,applied,1100.75,240.0,1282.75,658.0,1108.03,240.0,1275.47,649.64,1074.0,222.0,1305.0,671.0,0.6613072011878249,strict_success,"Box is slightly loose on left, right, and bottom; small inward tweaks will better hug the person without cropping."
vid_res_009_door_on_the_right_frame_01,examples/residence_images/vid_res_009_door_on_the_right_frame_01.jpg,success,,gpt_selected_refined_candidate,gpt_selected_initial_candidate,True,2,2,hallway door,0.12070517241954803,0.78,True,adjust,0.78,True,applied,1286.0,6.0,1424.0,1023.0,1290.14,6.0,1421.24,1002.66,1214.0,5.0,1459.0,1072.0,0.4998264292408618,success,"Box slightly includes door frame on left, a sliver of wall on right, and a bit of floor at bottom; small trims tighten around the door panel."
vid_res_009_door_on_the_right_frame_02,examples/residence_images/vid_res_009_door_on_the_right_frame_02.jpg,success,,gpt_selected_refined_candidate,gpt_selected_initial_candidate,True,3,2,door,0.07074487209320068,0.84,True,adjust,0.73,True,applied,1292.5,8.0,1448.5,1041.0,1280.02,8.0,1443.82,1041.0,1214.0,6.0,1472.0,1025.0,0.6273834111420937,strict_success,Box misses part of the door handle on the left and includes a thin strip of wall on the right; small boundary tweaks tighten around the door.
vid_res_009_door_on_the_right_frame_03,examples/residence_images/vid_res_009_door_on_the_right_frame_03.jpg,success,,gpt_selected_refined_candidate,gpt_selected_initial_candidate,True,2,2,door,0.11458295583724976,0.84,True,adjust,0.72,True,applied,1257.75,4.0,1421.75,1030.0,1259.39,4.0,1415.19,1030.0,1174.0,3.0,1463.0,1076.0,0.5154864445641202,strict_success,Box slightly includes background on the right and a small margin on the left; minor trims make it tighter around the door while keeping the handle.
vid_res_010_door_at_end_of_hallway_frame_01,examples/residence_images/vid_res_010_door_at_end_of_hallway_frame_01.jpg,success,,gpt_selected_refined_candidate,gpt_selected_initial_candidate,False,2,1,hallway door,0.07011743634939194,0.86,True,adjust,0.8,True,applied,706.25,38.0,1065.25,784.0,713.43,52.92,1058.07,761.62,680.0,17.0,1083.0,801.0,0.773048969463716,strict_success,Box includes small extra wall and floor; slight inward shifts will better align to the door/frame without cropping it.
vid_res_010_door_at_end_of_hallway_frame_02,examples/residence_images/vid_res_010_door_at_end_of_hallway_frame_02.jpg,success,,gpt_selected_refined_candidate,gpt_selected_initial_candidate,False,3,1,hallway door,0.06479352712631226,0.84,True,adjust,0.73,True,applied,663.25,3.0,1042.25,787.0,663.25,3.0,1023.3,763.48,636.0,6.0,1069.0,799.0,0.7917879141231732,strict_success,Box slightly includes wall on the right and some floor at the bottom; other edges are tight to the door.
vid_res_010_door_at_end_of_hallway_frame_03,examples/residence_images/vid_res_010_door_at_end_of_hallway_frame_03.jpg,success,,gpt_selected_refined_candidate,gpt_selected_initial_candidate,False,3,1,hallway door,0.08540637046098709,0.78,True,adjust,0.78,True,applied,615.75,0.0,1000.75,786.0,627.3,0.0,993.05,762.42,586.0,2.0,1025.0,802.0,0.7902776960857439,strict_success,Box slightly includes wall on both sides and extra floor at bottom; small tighten improves fit to the door.
vid_res_011_door_with_sign_frame_01,examples/residence_images/vid_res_011_door_with_sign_frame_01.jpg,success,,gpt_selected_refined_candidate,gpt_selected_initial_candidate,False,3,1,door,0.013725487515330315,0.68,True,uncertain,0.58,False,not_applied,350.0,0.0,588.0,187.0,350.0,0.0,588.0,187.0,239.0,9.0,693.0,1073.0,0.0873128083792596,poor,The selected box crops through the door on all sides and does not approach the full door boundaries; making it tight would require shifts greater than the allowed ±10%.
vid_res_011_door_with_sign_frame_02,examples/residence_images/vid_res_011_door_with_sign_frame_02.jpg,success,,gpt_selected_refined_candidate,gpt_selected_initial_candidate,False,4,1,door,0.02045857533812523,0.62,False,adjust,0.7,True,applied,343.5,0.0,579.5,187.0,329.34,0.0,586.58,187.0,234.0,2.0,699.0,1069.0,0.09581704114374012,poor,Slight horizontal expansion to align with the door’s left and right edges; vertical bounds are limited by the crop and are acceptable.
vid_res_011_door_with_sign_frame_03,examples/residence_images/vid_res_011_door_with_sign_frame_03.jpg,success,,gpt_selected_refined_candidate,gpt_selected_initial_candidate,False,3,1,door,0.022127745673060417,0.72,True,adjust,0.63,False,not_applied,336.0,0.0,574.0,190.0,336.0,0.0,574.0,190.0,202.0,2.0,691.0,1079.0,0.08488244812939527,poor,"Box covers the door with the sign but is a bit tight on the left, right, and top edges; slight outward expansion on all sides will better enclose the target."
vid_res_012_elevator_call_button_frame_01,examples/residence_images/vid_res_012_elevator_call_button_frame_01.jpg,success,,gpt_selected_refined_candidate,gpt_selected_initial_candidate,False,4,2,elevator call button,0.05762782692909241,0.78,True,uncertain,0.2,False,not_applied,1056.75,404.0,1078.75,433.0,1056.75,404.0,1078.75,433.0,1018.0,288.0,1129.0,543.0,0.0225401872460696,poor,"Only a small portion of the cyan box edge is visible and the elevator call button is not clearly seen, so tightness cannot be reliably judged."
vid_res_012_elevator_call_button_frame_02,examples/residence_images/vid_res_012_elevator_call_button_frame_02.jpg,success,,gpt_selected_refined_candidate,gpt_selected_initial_candidate,False,3,2,elevator call button,0.05575154349207878,0.78,False,uncertain,0.35,False,not_applied,1056.25,408.0,1080.25,442.0,1056.25,408.0,1080.25,442.0,1020.0,328.0,1117.0,528.0,0.04206185567010309,poor,"The crop is too small and the cyan overlay obscures object boundaries, making it difficult to judge whether the box tightly contains the elevator call button."
vid_res_012_elevator_call_button_frame_03,examples/residence_images/vid_res_012_elevator_call_button_frame_03.jpg,success,,initial_candidate_retained_after_local_refinement,gpt_selected_initial_candidate,False,5,3,elevator call button,0.05603373423218727,0.75,False,adjust,0.73,True,applied,1591.0,144.0,1631.0,199.0,1593.4,147.3,1628.6,195.7,1016.0,320.0,1125.0,526.0,0.0,poor,Box includes noticeable background on all sides; small inward adjustment will tightly frame the target.
vid_res_013_plant_on_table_frame_01,examples/residence_images/vid_res_013_plant_on_table_frame_01.jpg,success,,gpt_selected_refined_candidate,gpt_selected_initial_candidate,False,3,3,plant,0.17133410274982452,0.72,True,adjust,0.79,True,applied,763.0,362.5,1165.0,826.5,771.04,371.78,1156.96,789.38,712.0,378.0,1230.0,837.0,0.6610516666740618,strict_success,"The box covers the plant but leaves extra space, especially below and slight margins on the sides; small tightening improves containment."
vid_res_013_plant_on_table_frame_02,examples/residence_images/vid_res_013_plant_on_table_frame_02.jpg,success,,gpt_selected_refined_candidate,gpt_selected_initial_candidate,False,3,3,plant,0.07828500866889954,0.72,True,adjust,0.78,True,applied,770.75,366.0,1107.75,672.0,767.38,372.12,1097.64,659.76,720.0,378.0,1173.0,839.0,0.4414854182600489,success,"Box is slightly loose, especially on the right and bottom; minor tightening while keeping all plant leaves inside."
vid_res_013_plant_on_table_frame_03,examples/residence_images/vid_res_013_plant_on_table_frame_03.jpg,success,,gpt_selected_refined_candidate,gpt_selected_initial_candidate,False,3,3,plant,0.07828500866889954,0.74,True,adjust,0.75,True,applied,770.75,366.0,1107.75,672.0,777.49,375.18,1107.75,653.64,700.0,364.0,1211.0,823.0,0.39208949771689494,success,"Box includes some extra space, mainly below where non-target elements appear; slight trims on left/top and raising the bottom edge will more tightly contain the plant."
vid_res_014_package_by_the_chair_frame_01,examples/residence_images/vid_res_014_package_by_the_chair_frame_01.jpg,success,,gpt_selected_refined_candidate,gpt_selected_initial_candidate,True,5,1,box,0.14980408549308777,0.86,True,adjust,0.69,False,not_applied,1252.0,480.5,1346.0,552.5,1252.0,480.5,1346.0,552.5,1243.0,460.0,1361.0,570.0,0.5214175654853621,strict_success,Box extends slightly beyond the target on top and bottom and a bit on the left; small inward trims on all sides will tighten around the package.
vid_res_014_package_by_the_chair_frame_02,examples/residence_images/vid_res_014_package_by_the_chair_frame_02.jpg,success,,gpt_selected_refined_candidate,gpt_coarse_region,True,3,1,box,0.0069195120595395565,0.82,True,uncertain,0.15,False,not_applied,1293.0,515.0,1387.0,543.0,1293.0,515.0,1387.0,543.0,1285.0,443.0,1403.0,551.0,0.20652856246076584,weak_overlap,"The crop only shows a UI banner and no visible cyan box or package, so the boundaries cannot be judged."
vid_res_014_package_by_the_chair_frame_03,examples/residence_images/vid_res_014_package_by_the_chair_frame_03.jpg,success,,gpt_selected_refined_candidate,gpt_selected_initial_candidate,True,5,1,box,0.22608967125415802,0.78,True,adjust,0.76,True,applied,1197.0,504.25,1287.0,585.25,1202.4,506.68,1284.3,582.01,1179.0,485.0,1303.0,606.0,0.4111921487603298,success,Box includes some surrounding floor and space; tightening left and top/bottom slightly and bringing right edge a bit left will better hug the package.
vid_res_015_package_on_the_chair_frame_01,examples/residence_images/vid_res_015_package_on_the_chair_frame_01.jpg,success,,gpt_selected_refined_candidate,gpt_selected_initial_candidate,True,5,1,box,0.11564085632562637,0.82,True,accept,0.86,False,not_applied,955.75,360.25,1161.75,469.25,955.75,360.25,1161.75,469.25,944.0,340.0,1181.0,486.0,0.6489220276284607,strict_success,The cyan box closely encloses the package on the chair with only minimal background and no cutoff; no adjustment needed.
vid_res_015_package_on_the_chair_frame_02,examples/residence_images/vid_res_015_package_on_the_chair_frame_02.jpg,success,,gpt_selected_refined_candidate,gpt_selected_initial_candidate,True,4,1,box,0.14520417153835297,0.82,True,adjust,0.83,True,applied,978.5,343.0,1181.5,447.0,988.65,346.12,1171.35,443.88,961.0,329.0,1195.0,462.0,0.573894736842105,strict_success,Box includes extra cushion space on all sides; small inward tweaks make it tighter around the package.
vid_res_015_package_on_the_chair_frame_03,examples/residence_images/vid_res_015_package_on_the_chair_frame_03.jpg,success,,gpt_selected_refined_candidate,gpt_selected_initial_candidate,True,4,1,box,0.15400108695030212,0.83,True,adjust,0.79,True,applied,1016.0,348.5,1226.0,467.5,1024.4,354.45,1215.5,463.93,992.0,336.0,1247.0,483.0,0.5581333333333331,strict_success,Box is correct target but current bounds include small cushion gaps on all sides; minor inward tightening improves fit.
vid_res_016_packages_on_floor_frame_01,examples/residence_images/vid_res_016_packages_on_floor_frame_01.jpg,success,,gpt_selected_refined_candidate,gpt_selected_initial_candidate,False,5,1,box,0.0325220562517643,0.68,True,adjust,0.78,True,applied,933.5,725.5,1154.5,861.5,940.13,728.22,1150.08,856.06,616.0,562.0,1180.0,1025.0,0.102783297336213,weak_overlap,"The box is slightly loose on the left and right, has extra space above, and extends below onto another package; small inward tightening needed."
vid_res_016_packages_on_floor_frame_02,examples/residence_images/vid_res_016_packages_on_floor_frame_02.jpg,success,,gpt_selected_refined_candidate,gpt_selected_initial_candidate,False,4,1,box,0.11319275200366974,0.68,True,adjust,0.79,True,applied,705.0,721.25,987.0,967.25,719.1,728.63,975.72,957.41,665.0,531.0,1193.0,992.0,0.2411980033523959,weak_overlap,Box is slightly loose on all sides; minor tighten to remove extra floor/background.
vid_res_016_packages_on_floor_frame_03,examples/residence_images/vid_res_016_packages_on_floor_frame_03.jpg,success,,gpt_selected_refined_candidate,gpt_selected_initial_candidate,False,4,1,box,0.06758376210927963,0.7,True,adjust,0.76,True,applied,742.25,752.75,1030.25,1020.75,753.77,763.47,1021.61,1012.71,702.0,548.0,1220.0,1036.0,0.264084916766884,success,Box slightly loose on all sides; small inward tweaks will tightly contain the package.
vid_res_017_package_not_red_box_frame_01,examples/residence_images/vid_res_017_package_not_red_box_frame_01.jpg,success,,gpt_selected_refined_candidate,gpt_selected_initial_candidate,False,2,1,box,0.08208134770393372,0.84,True,adjust,0.74,True,applied,869.25,703.5,1020.25,860.5,870.76,706.64,1015.72,854.22,855.0,693.0,1041.0,868.0,0.6572410691244244,strict_success,"Box is slightly loose on the right and bottom, with a bit of extra space on the top; minor tightening on all sides will better hug the package."
vid_res_017_package_not_red_box_frame_02,examples/residence_images/vid_res_017_package_not_red_box_frame_02.jpg,success,,gpt_selected_refined_candidate,gpt_selected_initial_candidate,False,2,1,box,0.14849968254566193,0.73,True,adjust,0.73,True,applied,905.0,578.0,1033.0,688.0,910.12,582.4,1029.16,681.4,895.0,563.0,1052.0,707.0,0.5212738853503188,strict_success,Box includes small extra background on all sides; tighten slightly to the package edges.
vid_res_017_package_not_red_box_frame_03,examples/residence_images/vid_res_017_package_not_red_box_frame_03.jpg,success,,gpt_selected_refined_candidate,gpt_selected_initial_candidate,False,2,1,box,0.16499973833560944,0.82,True,adjust,0.78,True,applied,976.75,460.5,1131.75,587.5,979.85,464.31,1124.0,584.96,972.0,442.0,1146.0,603.0,0.6208216427500536,strict_success,"Box includes small background margins on all sides, especially right; minor inward tweaks will tightly fit the package."
vid_res_018_package_hidden_by_chair_frame_01,examples/residence_images/vid_res_018_package_hidden_by_chair_frame_01.jpg,success,,gpt_selected_refined_candidate,gpt_selected_initial_candidate,False,5,4,box,0.014853110536932945,0.73,True,adjust,0.64,False,not_applied,1018.25,625.75,1074.25,772.75,1018.25,625.75,1074.25,772.75,975.0,604.0,1088.0,801.0,0.36979470823413146,success,"Box includes some background on the right and bottom, and the left edge slightly cuts into the package near the chair occlusion. Minor tightening on all sides improves fit."
vid_res_018_package_hidden_by_chair_frame_02,examples/residence_images/vid_res_018_package_hidden_by_chair_frame_02.jpg,success,,gpt_selected_refined_candidate,gpt_selected_initial_candidate,False,5,2,box,0.020398536697030067,0.78,True,adjust,0.76,True,applied,969.0,588.75,1033.0,744.75,966.44,588.75,1031.08,741.63,917.0,566.0,1045.0,762.0,0.39389999999999925,success,Left edge trims the package slightly; right and bottom include a bit of background/adjacent box. Top is fine.
vid_res_018_package_hidden_by_chair_frame_03,examples/residence_images/vid_res_018_package_hidden_by_chair_frame_03.jpg,success,,gpt_selected_refined_candidate,gpt_selected_initial_candidate,False,5,2,box,0.04631181061267853,0.73,True,accept,0.86,False,not_applied,1111.0,563.25,1267.0,717.25,1111.0,563.25,1267.0,717.25,891.0,562.0,1037.0,761.0,0.0,poor,"The box closely hugs the package on all sides; right edge aligns with the occluding chair, and top/bottom/left edges are tight with minimal background."
vid_res_019_package_on_chair_frame_01,examples/residence_images/vid_res_019_package_on_chair_frame_01.jpg,success,,gpt_selected_refined_candidate,gpt_selected_initial_candidate,False,5,1,box,0.11564085632562637,0.82,True,adjust,0.82,True,applied,955.75,360.25,1161.75,469.25,961.93,363.52,1155.57,465.98,942.0,350.0,1176.0,479.0,0.6572700722189095,strict_success,Box is slightly loose with small margins on all sides; minor inward adjustments will tightly contain the package.
vid_res_019_package_on_chair_frame_02,examples/residence_images/vid_res_019_package_on_chair_frame_02.jpg,success,,gpt_selected_refined_candidate,gpt_selected_initial_candidate,False,4,1,box,0.14520417153835297,0.82,True,adjust,0.78,True,applied,978.5,343.0,1181.5,447.0,984.59,346.12,1175.41,442.84,963.0,330.0,1194.0,461.0,0.6098975711311588,strict_success,"Box is slightly loose on all sides, including extra chair background; minor tightening needed."
vid_res_019_package_on_chair_frame_03,examples/residence_images/vid_res_019_package_on_chair_frame_03.jpg,success,,gpt_selected_refined_candidate,gpt_selected_initial_candidate,False,4,1,box,0.15400108695030212,0.86,True,adjust,0.78,True,applied,1016.0,348.5,1226.0,467.5,1026.5,352.07,1217.6,465.12,999.0,336.0,1232.0,482.0,0.6350712857898757,strict_success,Box is correctly targeted but the bounds include small cushion margins on all sides; slight inward adjustments will tighten the fit.
vid_res_020_package_on_table_frame_01,examples/residence_images/vid_res_020_package_on_table_frame_01.jpg,success,,gpt_selected_refined_candidate,gpt_selected_initial_candidate,False,3,1,box,0.18024131655693054,0.82,True,adjust,0.86,True,applied,765.25,54.5,1027.25,194.5,770.49,57.3,1019.39,190.3,748.0,41.0,1036.0,206.0,0.6966266835016834,strict_success,"Box is correctly targeted but the crop leaves small margins on top, right, and bottom; slight inward trims (and a tiny left edge tighten) will better hug the package."
vid_res_020_package_on_table_frame_02,examples/residence_images/vid_res_020_package_on_table_frame_02.jpg,success,,gpt_selected_refined_candidate,gpt_selected_initial_candidate,False,3,1,box,0.18307249248027802,0.88,True,adjust,0.74,True,applied,723.75,77.25,964.75,203.25,726.16,79.77,957.52,196.95,703.0,57.0,985.0,217.0,0.6008591489361702,strict_success,"Box is slightly loose—extra space on right and bottom, small headroom on top; minor tighten on left."
vid_res_020_package_on_table_frame_03,examples/residence_images/vid_res_020_package_on_table_frame_03.jpg,success,,gpt_selected_refined_candidate,gpt_selected_initial_candidate,False,2,2,box,0.22523821890354156,0.78,True,adjust,0.78,True,applied,785.5,42.5,1034.5,183.5,790.48,45.32,1019.56,175.04,758.0,26.0,1055.0,195.0,0.5920398780706472,strict_success,The selected box is correct but slightly loose—extra space on the right and bottom (table area) and a small gap on the top/left. Minor inward adjustments will tightly contain the package.
vid_res_021_package_on_chair_frame_01,examples/residence_images/vid_res_021_package_on_chair_frame_01.jpg,failed,initial_selection,,,False,3,0,,,0.86,False,,,False,,,,,,,,,,572.0,327.0,796.0,511.0,0.0,failed,No candidate matches 'package on chair'; C1 and C3 are on tables and C2 is on the floor.
vid_res_021_package_on_chair_frame_02,examples/residence_images/vid_res_021_package_on_chair_frame_02.jpg,success,,gpt_selected_refined_candidate,gpt_selected_initial_candidate,False,3,1,box,0.14754855632781982,0.86,True,adjust,0.82,True,applied,580.25,341.5,763.25,487.5,585.74,345.88,755.93,481.66,554.0,330.0,780.0,501.0,0.5979505822077316,strict_success,Box includes small extra background on all sides; minor tightening improves fit around the package.
